"View Credit Memo","Zobrazit dobropis"
"Issue Credit Memo","Vystavit dobropis"
"Approve","Schválit"
"Approve this withdrawal request?","Schválit tuto žádost o odstoupení?"
"Deny","Zamítnout"
"Legal reason for denial (min 10 chars):","Právní důvod zamítnutí (min. 10 znaků):"
"Cancel Request","Zrušit žádost"
"Cancel this withdrawal? Add an optional note for the customer (visible in their cancellation email):","Zrušit toto odstoupení? Přidejte volitelnou poznámku pro zákazníka (zobrazí se v jeho e-mailu o zrušení):"
"Resend Receipt","Odeslat potvrzení znovu"
"Send the receipt email again? The customer will receive another copy.","Odeslat e-mail s potvrzením znovu? Zákazník obdrží další kopii."
"Withdrawal Request #%1","Žádost o odstoupení #%1"
"Request Details","Detaily žádosti"
"Information","Informace"
"Reason for Denial","Důvod zamítnutí"
"Customer Cancellation Note","Poznámka zákazníka ke zrušení"
"Cancellation Note","Poznámka ke zrušení"
"Status-Change Note","Poznámka ke změně stavu"
"Code","Kód"
"Label","Štítek"
"Add Reason","Přidat důvod"
"In progress","Probíhá"
"Refund issued","Refundace vystavena"
"Denied","Zamítnuto"
"Cancelled","Zrušeno"
"Pending","Čeká"
"This is a transactional email about your order.","Toto je transakční e-mail týkající se vaší objednávky."
"Reason for denial","Důvod zamítnutí"
"Your cancellation note","Vaše poznámka ke zrušení"
"Note from our team","Poznámka od našeho týmu"
"EU right of withdrawal","Právo na odstoupení dle EU"
"Withdrawal right pending delivery","Právo na odstoupení čeká na doručení"
"Withdrawal window has ended","Lhůta pro odstoupení vypršela"
"Not eligible for withdrawal","Nelze odstoupit"
"Withdrawal already requested","Žádost o odstoupení již odeslána"
"You can withdraw from this contract any time — the 14-day deadline begins counting once the order is delivered.","Od této smlouvy můžete odstoupit kdykoli — 14denní lhůta začíná běžet okamžikem doručení objednávky."
"Your 14-day withdrawal window will begin once this order is delivered.","Vaše 14denní lhůta pro odstoupení začne běžet okamžikem doručení této objednávky."
"The 14-day window for withdrawing from this contract has ended.","14denní lhůta pro odstoupení od této smlouvy vypršela."
"This order is not eligible for withdrawal under EU consumer law (Art. 16 Directive 2011/83/EU).","Tuto objednávku nelze odstoupit podle spotřebitelského práva EU (čl. 16 směrnice 2011/83/EU)."
"A withdrawal request for this order has been submitted. See the request details below.","Pro tuto objednávku byla odeslána žádost o odstoupení. Detaily žádosti viz níže."
"This order contains a perishable item that cannot be returned (food with short shelf life, fresh flowers, etc.).","Tato objednávka obsahuje rychle se kazící zboží, které nelze vrátit (potraviny s krátkou trvanlivostí, čerstvé květiny apod.)."
"This order contains a custom-made or personalised item that cannot be returned.","Tato objednávka obsahuje zboží vyrobené na míru nebo personalizované, které nelze vrátit."
"This order contains a sealed hygiene item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","Tato objednávka obsahuje zapečetěné hygienické zboží. Právo na odstoupení vám zůstává zachováno pouze po dobu neporušenosti pečeti — po jejím porušení po doručení toto právo zaniká."
"This order contains a sealed audio / video / software item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","Tato objednávka obsahuje zapečetěné audio / video / softwarové zboží. Právo na odstoupení vám zůstává zachováno pouze po dobu neporušenosti pečeti — po jejím porušení po doručení toto právo zaniká."
"This order contains digital content. Once you start using or downloading the content, you lose the right of withdrawal (you consented to this at checkout).","Tato objednávka obsahuje digitální obsah. Jakmile začnete obsah používat nebo stahovat, ztrácíte právo na odstoupení (s tímto jste souhlasili při placení)."
"%1 item(s) · Refund %2","%1 položek · Refundace %2"
"Awaiting confirmation","Čeká na potvrzení"
"Cancel withdrawal %1? Your refund will not be processed.","Zrušit odstoupení %1? Vaše vrácení peněz nebude zpracováno."
"Submitted","Odesláno"
"Approved","Schváleno"
"Fully returned","Plně vráceno"
"Return requested","Vrácení požadováno"
"Not eligible","Nezpůsobilé"
"Partially requested","Částečně požadováno"
"— Select a reason —","— Vyberte důvod —"
"Other","Jiné"
"The refund will be issued using your original payment method within 5-7 business days after we receive your return.","Vrácení peněz proběhne původním způsobem platby do 5-7 pracovních dnů od přijetí vašeho vrácení."
"Withdrawal right lost (Art. 16(m) CRD) — digital performance started on %1.","Právo na odstoupení zaniklo (čl. 16 písm. m) směrnice o spotřebitelských právech) — plnění digitálního obsahu zahájeno dne %1."
"Request #%1 not found.","Žádost č. %1 nebyla nalezena."
"Receipt email re-queued for request #%1. Delivery will retry asynchronously.","E-mail s potvrzením byl znovu zařazen do fronty pro žádost č. %1. Doručení bude opakováno asynchronně."
"Failed to queue receipt resend: %1","Nepodařilo se zařadit opětovné odeslání potvrzení do fronty: %1"
"Note text is empty.","Text poznámky je prázdný."
"Note added to request #%1.","Poznámka přidána k žádosti č. %1."
"Request #%1 approved.","Žádost č. %1 schválena."
"Request #%1 cancelled.","Žádost č. %1 zrušena."
"Request #%1 denied.","Žádost č. %1 zamítnuta."
"Invalid request id.","Neplatné ID žádosti."
"Unable to open temporary file for CSV export.","Nelze otevřít dočasný soubor pro export CSV."
"Withdrawal Requests","Žádosti o odstoupení"
"%1 requests queued for acceptance.","%1 žádostí zařazeno do fronty ke schválení."
"%1 request(s) approved.","%1 žádostí schváleno."
"%1 request(s) failed. First errors: %2","%1 žádostí selhalo. První chyby: %2"
"Note added to %1 request(s).","Poznámka přidána k %1 žádostem."
"Underlying order #%1 not found.","Nadřazená objednávka č. %1 nebyla nalezena."
