"View Credit Memo","Преглед на кредитното известие"
"Issue Credit Memo","Издаване на кредитно известие"
"Approve","Одобряване"
"Approve this withdrawal request?","Да се одобри ли тази заявка за отказ?"
"Deny","Отхвърляне"
"Legal reason for denial (min 10 chars):","Правно основание за отхвърляне (мин. 10 знака):"
"Cancel Request","Отказ на заявка"
"Cancel this withdrawal? Add an optional note for the customer (visible in their cancellation email):","Да се анулира ли този отказ? Добавете незадължителна бележка за клиента (видима в имейла за анулиране):"
"Resend Receipt","Повторно изпращане на разписка"
"Send the receipt email again? The customer will receive another copy.","Да се изпрати ли отново имейлът с разписка? Клиентът ще получи ново копие."
"Withdrawal Request #%1","Заявка за отказ #%1"
"Request Details","Детайли на заявката"
"Information","Информация"
"Reason for Denial","Причина за отхвърляне"
"Customer Cancellation Note","Бележка от клиента при анулиране"
"Cancellation Note","Бележка при анулиране"
"Status-Change Note","Бележка при промяна на статус"
"Code","Код"
"Label","Етикет"
"Add Reason","Добавяне на причина"
"In progress","В процес"
"Refund issued","Възстановяването е извършено"
"Denied","Отхвърлено"
"Cancelled","Отказано"
"Pending","Изчакващо"
"This is a transactional email about your order.","Това е транзакционен имейл относно вашата поръчка."
"Reason for denial","Причина за отхвърляне"
"Your cancellation note","Вашата бележка при анулиране"
"Note from our team","Бележка от нашия екип"
"EU right of withdrawal","Право на отказ по ЕС"
"Withdrawal right pending delivery","Право на отказ — изчаква доставка"
"Withdrawal window has ended","Срокът за отказ е изтекъл"
"Not eligible for withdrawal","Не подлежи на отказ"
"Withdrawal already requested","Заявка за отказ вече е подадена"
"You can withdraw from this contract any time — the 14-day deadline begins counting once the order is delivered.","Можете да се откажете от този договор по всяко време — 14-дневният срок започва да тече след доставката на поръчката."
"Your 14-day withdrawal window will begin once this order is delivered.","Вашият 14-дневен срок за отказ ще започне да тече, след като поръчката бъде доставена."
"The 14-day window for withdrawing from this contract has ended.","14-дневният срок за отказ от този договор е изтекъл."
"This order is not eligible for withdrawal under EU consumer law (Art. 16 Directive 2011/83/EU).","Тази поръчка не подлежи на отказ съгласно потребителското право на ЕС (чл. 16 от Директива 2011/83/ЕС)."
"A withdrawal request for this order has been submitted. See the request details below.","За тази поръчка е подадена заявка за отказ. Вижте детайлите на заявката по-долу."
"This order contains a perishable item that cannot be returned (food with short shelf life, fresh flowers, etc.).","Тази поръчка съдържа бързоразвалящ се артикул, който не може да бъде върнат (храни с кратък срок на годност, свежи цветя и др.)."
"This order contains a custom-made or personalised item that cannot be returned.","Тази поръчка съдържа артикул, изработен по индивидуална поръчка или персонализиран, който не може да бъде върнат."
"This order contains a sealed hygiene item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","Тази поръчка съдържа запечатан хигиенен артикул. Запазвате правото на отказ, само докато пломбата е цяла — след нейното нарушаване след доставка правото отпада."
"This order contains a sealed audio / video / software item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","Тази поръчка съдържа запечатан аудио / видео / софтуерен артикул. Запазвате правото на отказ, само докато пломбата е цяла — след нейното нарушаване след доставка правото отпада."
"This order contains digital content. Once you start using or downloading the content, you lose the right of withdrawal (you consented to this at checkout).","Тази поръчка съдържа цифрово съдържание. След като започнете да използвате или изтегляте съдържанието, губите правото на отказ (за което сте дали съгласие при оформянето на поръчката)."
"%1 item(s) · Refund %2","%1 артикул(а) · Възстановяване %2"
"Awaiting confirmation","Изчаква потвърждение"
"Cancel withdrawal %1? Your refund will not be processed.","Да се анулира ли отказ %1? Възстановяването няма да бъде обработено."
"Submitted","Подадено"
"Approved","Одобрено"
"Fully returned","Напълно върнато"
"Return requested","Поискан е връщане"
"Not eligible","Не подлежи"
"Partially requested","Частично поискано"
"— Select a reason —","— Изберете причина —"
"Other","Друго"
"The refund will be issued using your original payment method within 5-7 business days after we receive your return.","Възстановяването ще бъде извършено по първоначалния ви метод на плащане в рамките на 5-7 работни дни след получаване на върнатата пратка."
"Withdrawal right lost (Art. 16(m) CRD) — digital performance started on %1.","Правото на отказ е загубено (чл. 16(м) ДПП) — изпълнението на цифровото съдържание е започнало на %1."
"Request #%1 not found.","Заявка #%1 не е намерена."
"Receipt email re-queued for request #%1. Delivery will retry asynchronously.","Имейлът с разписка за заявка #%1 е поставен повторно в опашката. Доставката ще бъде опитана отново асинхронно."
"Failed to queue receipt resend: %1","Неуспешно поставяне в опашка за повторно изпращане на разписка: %1"
"Note text is empty.","Текстът на бележката е празен."
"Note added to request #%1.","Бележката е добавена към заявка #%1."
"Request #%1 approved.","Заявка #%1 е одобрена."
"Request #%1 cancelled.","Заявка #%1 е анулирана."
"Request #%1 denied.","Заявка #%1 е отхвърлена."
"Invalid request id.","Невалиден идентификатор на заявка."
"Unable to open temporary file for CSV export.","Не може да бъде отворен временен файл за CSV експорт."
"Withdrawal Requests","Заявки за отказ"
"%1 requests queued for acceptance.","%1 заявки са поставени в опашка за приемане."
"%1 request(s) approved.","%1 заявка(и) са одобрени."
"%1 request(s) failed. First errors: %2","%1 заявка(и) са с грешка. Първи грешки: %2"
"Note added to %1 request(s).","Бележката е добавена към %1 заявка(и)."
"Underlying order #%1 not found.","Свързаната поръчка #%1 не е намерена."
"Order #%1 has no invoice yet — Magento requires an invoice before a credit memo can be created. Open an invoice first (Sales → Orders → #%1 → Invoice button), then return here to refund.","Поръчка #%1 все още няма фактура — Magento изисква фактура, преди да бъде създадено кредитно известие. Първо създайте фактура (Sales → Orders → #%1 → бутон Invoice), след което се върнете тук за възстановяване."
"No items recorded on this withdrawal request — the credit memo will open with default invoice qtys; please adjust manually.","Няма записани артикули за тази заявка за отказ — кредитното известие ще бъде отворено с количествата по подразбиране от фактурата; моля, коригирайте ги ръчно."
"Pre-filled credit memo for withdrawal #%1 — review the qtys + shipping refund below, then click Refund Online or Refund Offline.","Предварително попълнено кредитно известие за отказ #%1 — прегледайте количествата и възстановяването на доставка по-долу, след което натиснете Refund Online или Refund Offline."
"Some items are no longer eligible. Please reload and try again.","Някои артикули вече не подлежат. Моля, презаредете и опитайте отново."
"We could not process your request. Please try again.","Не можахме да обработим вашата заявка. Моля, опитайте отново."
"Item","Артикул"
"We could not find a matching order for that email.","Не намерихме съответстваща поръчка за този имейл."
"Withdraw from a contract","Отказ от договор"
"Withdrawal not found.","Отказът не е намерен."
"This withdrawal can no longer be cancelled online. Contact us if you need help.","Този отказ вече не може да бъде анулиран онлайн. Свържете се с нас, ако имате нужда от помощ."
"Withdrawal #%1 cancelled.","Отказ #%1 е анулиран."
"Please fill in all required fields.","Моля, попълнете всички задължителни полета."
"%1 item(s) were excluded from the withdrawal because the seal is broken (Art. 16(e)/(i) Directive 2011/83/EU).","%1 артикул(а) са изключени от отказа поради нарушена пломба (чл. 16(д)/(и) от Директива 2011/83/ЕС)."
"Please select at least one item to withdraw.","Моля, изберете поне един артикул за отказ."
"One or more items are no longer available for withdrawal. Please refresh and try again.","Един или повече артикули вече не са налични за отказ. Моля, опреснете страницата и опитайте отново."
"None of the selected items are eligible for withdrawal.","Нито един от избраните артикули не подлежи на отказ."
"Hash mismatch for quote item %1","Несъответствие на хеш за артикул от количка %1"
"Requested qty %1 exceeds remaining %2 for order item %3","Заявеното количество %1 надвишава оставащото %2 за артикул от поръчка %3"
"No delivery confirmation recorded for this order yet.","За тази поръчка все още няма записано потвърждение за доставка."
"No eligible items selected for withdrawal","Не са избрани допустими артикули за отказ"
"Physical goods","Физически стоки"
"Digital content (non-tangible)","Цифрово съдържание (нематериално)"
"Digital service (SaaS / subscription)","Цифрова услуга (SaaS / абонамент)"
"Financial services (Enterprise tier)","Финансови услуги (план Enterprise)"
"Downloadable products","Продукти за изтегляне"
"Virtual products","Виртуални продукти"
"Bundles containing digital children","Комплекти, съдържащи цифрови артикули"
"Custom attribute flag","Флаг за персонализиран атрибут"
"locale_inheritance.xml missing at %1","locale_inheritance.xml липсва на %1"
"locale_inheritance.xml unreadable at %1","locale_inheritance.xml не може да бъде прочетен на %1"
"locale_inheritance.xml failed XSD validation: %1","locale_inheritance.xml не премина XSD валидация: %1"
"Original payment method","Първоначален метод на плащане"
"This is your durable-medium receipt for the withdrawal (Art. 11a(4) Directive 2011/83/EU).","Това е вашата разписка на траен носител за отказа (чл. 11а(4) от Директива 2011/83/ЕС)."
"This email is a notification about your withdrawal request.","Този имейл е известие относно вашата заявка за отказ."
"5–7 business days","5–7 работни дни"
"This is a confirmation that your withdrawal request has been recorded.","Това е потвърждение, че вашата заявка за отказ е регистрирана."
"MageMe EU Withdrawal is installed but not enabled. Review the compliance checklist and configure the module before enabling: <a href=""%1"">Stores → Configuration → MageMe Extensions → EU Withdrawal</a>.","MageMe EU Withdrawal е инсталиран, но не е активиран. Прегледайте контролния списък за съответствие и конфигурирайте модула, преди да го активирате: <a href=""%1"">Stores → Configuration → MageMe Extensions → EU Withdrawal</a>."
"Delivery confirmation status is not configured. Set Stores → Configuration → MageMe Extensions → EU Withdrawal → Withdrawal Period → Delivery Confirmation Statuses.","Статусът за потвърждение на доставка не е конфигуриран. Задайте Stores → Configuration → MageMe Extensions → EU Withdrawal → Withdrawal Period → Delivery Confirmation Statuses."
"No Annex I source found for locale %1 along chain %2","Не е намерен източник за Приложение I за локал %1 по веригата %2"
"Annex I source for locale %1 is malformed","Източникът за Приложение I за локал %1 е с невалиден формат"
"Missing merchant variables for Annex I rendering: %1","Липсват променливи на търговеца за рендиране на Приложение I: %1"
"Receipt hash mismatch for request %1","Несъответствие на хеша на разписката за заявка %1"
"Request %1 not found.","Заявка %1 не е намерена."
"Denying a withdrawal request requires a legal basis of at least 10 characters.","За отхвърляне на заявка за отказ е необходимо правно основание с поне 10 знака."
"Withdrawal request cannot transition from ""%1"" to ""%2"".","Заявката за отказ не може да премине от „%1“ към „%2“."
"Request %1 is not in pending_confirm state.","Заявка %1 не е в състояние pending_confirm."
"Withdrawal request #%1 does not exist.","Заявка за отказ #%1 не съществува."
"No digital items on order %1","Няма цифрови артикули в поръчка %1"
"This is your durable-medium copy of the waiver you signed at checkout (Art. 11a(4) Directive 2011/83/EU).","Това е вашето копие на траен носител на съгласието, което подписахте при оформяне на поръчката (чл. 11а(4) от Директива 2011/83/ЕС)."
"Waived","Отказано"
"Waiver email render failed: %1","Неуспешно рендиране на имейла за съгласие: %1"
"Digital content waiver text has changed — please reload checkout.","Текстът за съгласие при цифрово съдържание е променен — моля, презаредете оформянето на поръчката."
"Digital content waiver is incomplete for item %1.","Съгласието за цифрово съдържание е непълно за артикул %1."
"bad","лошо"
"smtp down","smtp down"
"smtp","smtp"
"down","недостъпно"
"No shipment found for order 42.","Не е намерена пратка за поръчка 42."
"View","Преглед"
"Withdrawal & Customer Information","Информация за отказа и клиента"
"Request # %1","Заявка № %1"
"Request Status","Статус на заявка"
"Submitted At","Подадено на"
"Confirmed At","Потвърдено на"
"Related Order","Свързана поръчка"
"Jurisdiction","Юрисдикция"
"Contract Type","Тип договор"
"Receipt Status","Статус на разписката"
"%1 attempt(s)","%1 опит(а)"
"Receipt Error","Грешка при разписка"
"Customer Information","Информация за клиента"
"Customer Name","Име на клиента"
"Email","Имейл"
"Locale","Език"
"Items Selected for Withdrawal","Артикули, избрани за отказ"
"Product","Продукт"
"Price","Цена"
"Qty","Кол."
"Subtotal","Междинна сума"
"Refund","Възстановяване"
"Reason","Причина"
"Eligibility","Допустимост"
"No items associated with this request.","Няма артикули, свързани с тази заявка."
"SKU","SKU"
"Ordered","Поръчани"
"Withdrawing","За отказ"
"Refund Total","Сума за възстановяване"
"Notes for this Request","Бележки за тази заявка"
"Internal notes — visible to admin staff only. Not sent to the customer.","Вътрешни бележки — видими само за администраторите. Не се изпращат на клиента."
"Comment","Коментар"
"Add internal note (max 2000 chars)","Добавяне на вътрешна бележка (макс. 2000 знака)"
"Submit Comment","Изпращане на коментар"
"No comments added yet.","Все още няма добавени коментари."
" by %1"," от %1"
"Refund Totals","Общи стойности за възстановяване"
"Items Subtotal","Междинна сума на артикулите"
"Shipping Refund","Възстановяване на доставка"
"Total Refund","Общо възстановяване"
"Changes have been made to this section that have not been saved.","В този раздел са направени промени, които не са запазени."
"This tab contains invalid data. Please resolve this before saving.","Този раздел съдържа невалидни данни. Моля, отстранете ги преди запазване."
"Contact us","Свържете се с нас"
"Returns","Връщания"
"FAQs","Често задавани въпроси"
"All rights reserved.","Всички права запазени."
"Returned items","Върнати артикули"
"No image","Няма изображение"
"Item status","Статус на артикула"
"Withdrawal options for this order","Опции за отказ за тази поръчка"
"You can return this order until %1.","Можете да върнете тази поръчка до %1."
"(Art. 11a Directive 2011/83/EU)","(чл. 11а от Директива 2011/83/ЕС)"
"Submit a withdrawal request to start the refund process.","Подайте заявка за отказ, за да започнете процеса по възстановяване."
"(Art. 9(2)(b) Directive 2011/83/EU)","(чл. 9(2)(б) от Директива 2011/83/ЕС)"
"Start withdrawal","Започване на отказ"
"Your withdrawal requests","Вашите заявки за отказ"
"Submitted %1","Подадено %1"
"Show items","Показване на артикули"
"Cancel withdrawal","Отказ на отказа"
"Qty %1","Количество %1"
"Receipt details","Детайли на потвърждението"
"Receipt number","Номер на разписка"
"Order number","Номер на поръчката"
"Confirmed","Потвърдено"
"Consumer","Потребител"
"Refund total","Обща сума за възстановяване"
"Merchant","Търговец"
"Legal basis","Правно основание"
"SKU %1","SKU %1"
"Shipping refund","Възстановяване на доставка"
"Tax refund","Възстановяване на данък"
"Total refund","Общо възстановяване"
"Digital content — Art. 16(m) notice","Цифрово съдържание — известие по чл. 16(м)"
"By placing the order you agreed to begin performance of the digital content before the end of the withdrawal period and acknowledged that, once performance has begun, the right of withdrawal no longer applies. This notice is shown for your records.","С извършването на поръчката се съгласихте изпълнението на цифровото съдържание да започне преди изтичането на срока за отказ и потвърдихте, че след започване на изпълнението правото на отказ отпада. Това известие се показва за вашите записи."
"Existing withdrawals for this order","Съществуващи откази за тази поръчка"
"You can cancel a withdrawal here until it is approved.","Можете да анулирате отказ оттук, докато не бъде одобрен."
"Request #%1","Заявка #%1"
"SKU: %1","SKU: %1"
"Estimated refund: %1 %2","Очаквано възстановяване: %1 %2"
"Cancel this withdrawal","Отказ на този отказ"
"Are you sure? This cannot be undone.","Сигурни ли сте? Това действие не може да бъде отменено."
"Yes, cancel","Да, отказ"
"Keep it","Запазване"
"That order does not belong to your account. Please select one of your own orders.","Тази поръчка не принадлежи на вашия акаунт. Моля, изберете една от собствените си поръчки."
"Select items to return","Изберете артикули за връщане"
"Choose all items or only some of them. Set the return quantity for each item you want to withdraw.","Изберете всички или само някои артикули. Задайте количеството за връщане за всеки артикул, който искате да откажете."
