"View Credit Memo","Pregled odobrenja"
"Issue Credit Memo","Izdavanje odobrenja"
"Approve","Odobri"
"Approve this withdrawal request?","Odobriti ovaj zahtjev za odustajanje?"
"Deny","Odbij"
"Legal reason for denial (min 10 chars):","Pravni razlog za odbijanje (min. 10 znakova):"
"Cancel Request","Otkaži zahtjev"
"Cancel this withdrawal? Add an optional note for the customer (visible in their cancellation email):","Otkazati ovo odustajanje? Dodajte neobaveznu napomenu za kupca (vidljiva u e-poruci o otkazivanju):"
"Resend Receipt","Ponovno pošalji potvrdu"
"Send the receipt email again? The customer will receive another copy.","Ponovno poslati e-poruku s potvrdom? Kupac će primiti dodatnu kopiju."
"Withdrawal Request #%1","Zahtjev za odustajanje #%1"
"Request Details","Detalji zahtjeva"
"Information","Informacije"
"Reason for Denial","Razlog odbijanja"
"Customer Cancellation Note","Napomena kupca o otkazivanju"
"Cancellation Note","Napomena o otkazivanju"
"Status-Change Note","Napomena o promjeni statusa"
"Code","Kod"
"Label","Oznaka"
"Add Reason","Dodaj razlog"
"In progress","U tijeku"
"Refund issued","Povrat izdan"
"Denied","Odbijeno"
"Cancelled","Otkazano"
"Pending","Na čekanju"
"This is a transactional email about your order.","Ovo je transakcijska e-poruka u vezi s vašom narudžbom."
"Reason for denial","Razlog odbijanja"
"Your cancellation note","Vaša napomena o otkazivanju"
"Note from our team","Napomena našeg tima"
"EU right of withdrawal","EU pravo na odustajanje"
"Withdrawal right pending delivery","Pravo na odustajanje čeka isporuku"
"Withdrawal window has ended","Rok za odustajanje je istekao"
"Not eligible for withdrawal","Nije moguće odustajanje"
"Withdrawal already requested","Zahtjev za odustajanje je već predan"
"You can withdraw from this contract any time — the %1-day deadline begins counting once the order is delivered.","Od ovog ugovora možete odustati u bilo kojem trenutku — rok od %1 dana počinje teći od trenutka isporuke narudžbe."
"Your %1-day withdrawal window will begin once this order is delivered.","Vaš rok od %1 dana za odustajanje počinje teći od trenutka isporuke ove narudžbe."
"The %1-day window for withdrawing from this contract has ended.","Rok od %1 dana za odustajanje od ovog ugovora je istekao."
"This order is not eligible for withdrawal under EU consumer law (Art. 16 Directive 2011/83/EU).","Ova narudžba ne podliježe pravu na odustajanje prema potrošačkom pravu EU-a (čl. 16. Direktive 2011/83/EU)."
"A withdrawal request for this order has been submitted. See the request details below.","Za ovu narudžbu predan je zahtjev za odustajanje. Pogledajte pojedinosti zahtjeva u nastavku."
"This order contains a perishable item that cannot be returned (food with short shelf life, fresh flowers, etc.).","Ova narudžba sadrži pokvarljivu robu koja se ne može vratiti (hrana s kratkim rokom trajanja, svježe cvijeće itd.)."
"This order contains a custom-made or personalised item that cannot be returned.","Ova narudžba sadrži robu izrađenu po narudžbi ili personaliziranu robu koja se ne može vratiti."
"This order contains a sealed hygiene item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","Ova narudžba sadrži zapečaćenu higijensku robu. Pravo na odustajanje zadržavate samo dok je pečat netaknut — nakon što se pečat oštećuje nakon isporuke, pravo se gubi."
"This order contains a sealed audio / video / software item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","Ova narudžba sadrži zapečaćenu audio / video / softversku robu. Pravo na odustajanje zadržavate samo dok je pečat netaknut — nakon što se pečat oštećuje nakon isporuke, pravo se gubi."
"This order contains digital content. Once you start using or downloading the content, you lose the right of withdrawal (you consented to this at checkout).","Ova narudžba sadrži digitalni sadržaj. Čim započnete s korištenjem ili preuzimanjem sadržaja, gubite pravo na odustajanje (na to ste pristali tijekom naplate)."
"%1 item(s) · Refund %2","%1 stavki · Povrat %2"
"Awaiting confirmation","Čeka potvrdu"
"Cancel withdrawal %1? Your refund will not be processed.","Otkazati odustajanje %1? Vaš povrat neće biti obrađen."
"Submitted","Predano"
"Approved","Odobreno"
"Fully returned","Potpuno vraćeno"
"Return requested","Zatraženo vraćanje"
"Not eligible","Nije prihvatljivo"
"Partially requested","Djelomično zatraženo"
"— Select a reason —","— Odaberite razlog —"
"Other","Ostalo"
"The refund will be issued using your original payment method within 5-7 business days after we receive your return.","Povrat novca bit će izvršen putem vaše izvorne metode plaćanja u roku od 5-7 radnih dana nakon primitka vašeg povrata."
"Withdrawal right lost (Art. 16(m) CRD) — digital performance started on %1.","Pravo na odustajanje izgubljeno (čl. 16(m) Direktive o pravima potrošača) — digitalna izvedba započela je %1."
"Request #%1 not found.","Zahtjev #%1 nije pronađen."
"Receipt email re-queued for request #%1. Delivery will retry asynchronously.","E-poruka s potvrdom ponovno je u redu čekanja za zahtjev #%1. Isporuka će se asinkrono ponoviti."
"Failed to queue receipt resend: %1","Stavljanje ponovnog slanja potvrde u red čekanja nije uspjelo: %1"
"Note text is empty.","Tekst napomene je prazan."
"Note added to request #%1.","Napomena dodana zahtjevu #%1."
"Request #%1 approved.","Zahtjev #%1 odobren."
"Request #%1 cancelled.","Zahtjev #%1 otkazan."
"Request #%1 denied.","Zahtjev #%1 odbijen."
"Invalid request id.","Nevažeći ID zahtjeva."
"Unable to open temporary file for CSV export.","Nije moguće otvoriti privremenu datoteku za CSV izvoz."
"Withdrawal Requests","Zahtjevi za odustajanje"
"%1 requests queued for acceptance.","%1 zahtjeva stavljeno u red čekanja za prihvaćanje."
"%1 request(s) approved.","Odobreno zahtjeva: %1."
"%1 request(s) failed. First errors: %2","Neuspješnih zahtjeva: %1. Prve pogreške: %2"
"Note added to %1 request(s).","Napomena dodana broju zahtjeva: %1."
"Underlying order #%1 not found.","Pripadajuća narudžba #%1 nije pronađena."
