"View Credit Memo","Ver abono"
"Issue Credit Memo","Emitir abono"
"Approve","Aprobar"
"Approve this withdrawal request?","¿Aprobar esta solicitud de desistimiento?"
"Deny","Denegar"
"Legal reason for denial (min 10 chars):","Motivo legal de la denegación (mín. 10 caracteres):"
"Cancel Request","Cancelar solicitud"
"Cancel this withdrawal? Add an optional note for the customer (visible in their cancellation email):","¿Cancelar este desistimiento? Añada una nota opcional para el cliente (visible en su correo de cancelación):"
"Resend Receipt","Reenviar recibo"
"Send the receipt email again? The customer will receive another copy.","¿Reenviar el correo de recibo? El cliente recibirá otra copia."
"Withdrawal Request #%1","Solicitud de desistimiento #%1"
"Request Details","Detalles de la solicitud"
"Information","Información"
"Reason for Denial","Motivo de la denegación"
"Customer Cancellation Note","Nota de cancelación del cliente"
"Cancellation Note","Nota de cancelación"
"Status-Change Note","Nota de cambio de estado"
"Code","Código"
"Label","Etiqueta"
"Add Reason","Añadir motivo"
"In progress","En curso"
"Refund issued","Reembolso emitido"
"Denied","Denegada"
"Cancelled","Cancelada"
"Pending","Pendiente"
"This is a transactional email about your order.","Este es un correo transaccional relativo a su pedido."
"Reason for denial","Motivo de la denegación"
"Your cancellation note","Su nota de cancelación"
"Note from our team","Nota de nuestro equipo"
"EU right of withdrawal","Derecho de desistimiento UE"
"Withdrawal right pending delivery","Derecho de desistimiento pendiente de entrega"
"Withdrawal window has ended","Plazo de desistimiento finalizado"
"Not eligible for withdrawal","No elegible para desistimiento"
"Withdrawal already requested","Solicitud de desistimiento ya enviada"
"You can withdraw from this contract any time — the 14-day deadline begins counting once the order is delivered.","Puede desistir de este contrato en cualquier momento — el plazo de 14 días empieza a contar una vez entregado el pedido."
"Your 14-day withdrawal window will begin once this order is delivered.","Su plazo de desistimiento de 14 días comenzará al entregar este pedido."
"The 14-day window for withdrawing from this contract has ended.","El plazo de 14 días para desistir de este contrato ha finalizado."
"This order is not eligible for withdrawal under EU consumer law (Art. 16 Directive 2011/83/EU).","Este pedido no es elegible para desistimiento conforme a la legislación de consumo de la UE (art. 16 Directiva 2011/83/UE)."
"A withdrawal request for this order has been submitted. See the request details below.","Se ha enviado una solicitud de desistimiento para este pedido. Consulte los detalles de la solicitud a continuación."
"This order contains a perishable item that cannot be returned (food with short shelf life, fresh flowers, etc.).","Este pedido contiene un artículo perecedero que no puede devolverse (alimentos de corta caducidad, flores frescas, etc.)."
"This order contains a custom-made or personalised item that cannot be returned.","Este pedido contiene un artículo confeccionado a medida o personalizado que no puede devolverse."
"This order contains a sealed hygiene item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","Este pedido contiene un artículo de higiene precintado. Conserva el derecho de desistimiento solo mientras el precinto permanezca intacto — una vez abierto tras la entrega, el derecho se pierde."
"This order contains a sealed audio / video / software item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","Este pedido contiene un artículo de audio, vídeo o software precintado. Conserva el derecho de desistimiento solo mientras el precinto permanezca intacto — una vez abierto tras la entrega, el derecho se pierde."
"This order contains digital content. Once you start using or downloading the content, you lose the right of withdrawal (you consented to this at checkout).","Este pedido contiene contenido digital. Una vez que empiece a utilizar o descargar el contenido, perderá el derecho de desistimiento (usted lo consintió en el momento del pago)."
"%1 item(s) · Refund %2","%1 artículo(s) · Reembolso %2"
"Awaiting confirmation","Pendiente de confirmación"
"Cancel withdrawal %1? Your refund will not be processed.","¿Cancelar el desistimiento %1? Su reembolso no se procesará."
"Submitted","Enviada"
"Approved","Aprobada"
"Fully returned","Devuelta totalmente"
"Return requested","Devolución solicitada"
"Not eligible","No elegible"
"Partially requested","Solicitada parcialmente"
"— Select a reason —","— Seleccionar un motivo —"
"Other","Otro"
"The refund will be issued using your original payment method within 5-7 business days after we receive your return.","El reembolso se realizará a través de su método de pago original en un plazo de 5 a 7 días laborables tras recibir su devolución."
"Withdrawal right lost (Art. 16(m) CRD) — digital performance started on %1.","Derecho de desistimiento perdido (art. 16(m) CRD) — ejecución digital iniciada el %1."
"Request #%1 not found.","Solicitud #%1 no encontrada."
"Receipt email re-queued for request #%1. Delivery will retry asynchronously.","Correo de recibo reencolado para la solicitud n.º %1. El envío se reintentará de forma asíncrona."
"Failed to queue receipt resend: %1","No se pudo encolar el reenvío del recibo: %1"
"Note text is empty.","El texto de la nota está vacío."
"Note added to request #%1.","Nota añadida a la solicitud #%1."
"Request #%1 approved.","Solicitud #%1 aprobada."
"Request #%1 cancelled.","Solicitud #%1 cancelada."
"Request #%1 denied.","Solicitud #%1 denegada."
"Invalid request id.","ID de solicitud no válido."
"Unable to open temporary file for CSV export.","No se ha podido abrir el archivo temporal para la exportación CSV."
"Withdrawal Requests","Solicitudes de desistimiento"
"%1 requests queued for acceptance.","%1 solicitudes encoladas para aprobación."
"%1 request(s) approved.","%1 solicitud(es) aprobada(s)."
"%1 request(s) failed. First errors: %2","%1 solicitud(es) fallida(s). Primeros errores: %2"
"Note added to %1 request(s).","Nota añadida a %1 solicitud(es)."
"Underlying order #%1 not found.","No se ha encontrado el pedido subyacente n.º %1."
"Order #%1 has no invoice yet — Magento requires an invoice before a credit memo can be created. Open an invoice first (Sales → Orders → #%1 → Invoice button), then return here to refund.","El pedido n.º %1 aún no tiene factura — Magento requiere una factura antes de poder crear un abono. Abra primero una factura (Ventas → Pedidos → n.º %1 → botón Factura) y vuelva aquí para reembolsar."
