"View Credit Memo","Skatīt kredītrēķinu"
"Issue Credit Memo","Izsniegt kredītrēķinu"
"Approve","Apstiprināt"
"Approve this withdrawal request?","Apstiprināt šo atteikuma pieprasījumu?"
"Deny","Noraidīt"
"Legal reason for denial (min 10 chars):","Juridiskais noraidīšanas pamats (vismaz 10 rakstzīmes):"
"Cancel Request","Atcelt pieprasījumu"
"Cancel this withdrawal? Add an optional note for the customer (visible in their cancellation email):","Atcelt šo atteikumu? Pievienojiet neobligātu piezīmi klientam (redzama atcelšanas e-pastā):"
"Resend Receipt","Atkārtoti nosūtīt kvīti"
"Send the receipt email again? The customer will receive another copy.","Atkārtoti nosūtīt apliecinājuma e-pastu? Klients saņems vēl vienu kopiju."
"Withdrawal Request #%1","Atteikuma pieprasījums #%1"
"Request Details","Pieprasījuma informācija"
"Information","Informācija"
"Reason for Denial","Noraidījuma iemesls"
"Customer Cancellation Note","Klienta atcelšanas piezīme"
"Cancellation Note","Atcelšanas piezīme"
"Status-Change Note","Statusa maiņas piezīme"
"Code","Kods"
"Label","Etiķete"
"Add Reason","Pievienot iemeslu"
"In progress","Apstrādē"
"Refund issued","Atmaksa izsniegta"
"Denied","Noraidīts"
"Cancelled","Atcelts"
"Pending","Gaida"
"This is a transactional email about your order.","Šis ir transakciju e-pasts par jūsu pasūtījumu."
"Reason for denial","Noraidījuma iemesls"
"Your cancellation note","Jūsu atcelšanas piezīme"
"Note from our team","Mūsu komandas piezīme"
"EU right of withdrawal","ES atteikuma tiesības"
"Withdrawal right pending delivery","Atteikuma tiesības gaida piegādi"
"Withdrawal window has ended","Atteikuma termiņš ir beidzies"
"Not eligible for withdrawal","Nav tiesību uz atteikumu"
"Withdrawal already requested","Atteikuma pieprasījums jau iesniegts"
"You can withdraw from this contract any time — the 14-day deadline begins counting once the order is delivered.","No šī līguma varat atteikties jebkurā brīdī — 14 dienu termiņš sāk skaitīties, tiklīdz pasūtījums ir piegādāts."
"Your 14-day withdrawal window will begin once this order is delivered.","Jūsu 14 dienu atteikuma termiņš sāksies, tiklīdz šis pasūtījums tiks piegādāts."
"The 14-day window for withdrawing from this contract has ended.","14 dienu termiņš atteikumam no šī līguma ir beidzies."
"This order is not eligible for withdrawal under EU consumer law (Art. 16 Directive 2011/83/EU).","Šim pasūtījumam nav tiesību uz atteikumu saskaņā ar ES patērētāju tiesību aktiem (Direktīvas 2011/83/ES 16. pants)."
"A withdrawal request for this order has been submitted. See the request details below.","Šim pasūtījumam ir iesniegts atteikuma pieprasījums. Skatiet pieprasījuma informāciju zemāk."
"This order contains a perishable item that cannot be returned (food with short shelf life, fresh flowers, etc.).","Šis pasūtījums satur ātri bojājošu preci, kuru nevar atgriezt (pārtika ar īsu derīguma termiņu, svaigi ziedi u.c.)."
"This order contains a custom-made or personalised item that cannot be returned.","Šis pasūtījums satur pēc pasūtījuma izgatavotu vai personalizētu preci, kuru nevar atgriezt."
"This order contains a sealed hygiene item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","Šis pasūtījums satur aizzīmogotu higiēnas preci. Atteikuma tiesības saglabājas tikai tikmēr, kamēr aizzīmogojums ir vesels — pēc atvēršanas pēc piegādes tiesības tiek zaudētas."
"This order contains a sealed audio / video / software item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","Šis pasūtījums satur aizzīmogotu audio / video / programmatūras preci. Atteikuma tiesības saglabājas tikai tikmēr, kamēr aizzīmogojums ir vesels — pēc atvēršanas pēc piegādes tiesības tiek zaudētas."
"This order contains digital content. Once you start using or downloading the content, you lose the right of withdrawal (you consented to this at checkout).","Šis pasūtījums satur digitālo saturu. Tiklīdz sākat izmantot vai lejupielādēt saturu, jūs zaudējat atteikuma tiesības (jūs tam piekritāt norēķinos)."
"%1 item(s) · Refund %2","%1 prece(s) · Atmaksa %2"
"Awaiting confirmation","Gaida apstiprinājumu"
"Cancel withdrawal %1? Your refund will not be processed.","Atcelt atteikumu %1? Jūsu atmaksa netiks apstrādāta."
"Submitted","Iesniegts"
"Approved","Apstiprināts"
"Fully returned","Pilnībā atgriezts"
"Return requested","Pieprasīta atgriešana"
"Not eligible","Neattiecas"
"Partially requested","Daļēji pieprasīts"
"— Select a reason —","— Izvēlieties iemeslu —"
"Other","Cits"
"The refund will be issued using your original payment method within 5-7 business days after we receive your return.","Naudas atmaksa tiks veikta, izmantojot sākotnējo maksāšanas veidu, 5–7 darba dienu laikā pēc atgrieztās preces saņemšanas."
"Withdrawal right lost (Art. 16(m) CRD) — digital performance started on %1.","Atteikuma tiesības zaudētas (Direktīvas 2011/83/ES 16. panta m) apakšpunkts) — digitālā izpilde sākta %1."
"Request #%1 not found.","Pieprasījums #%1 nav atrasts."
"Receipt email re-queued for request #%1. Delivery will retry asynchronously.","Apliecinājuma e-pasts atkārtoti pievienots rindai pieprasījumam #%1. Piegāde tiks veikta asinhroni."
"Failed to queue receipt resend: %1","Neizdevās pievienot rindai apliecinājuma atkārtotu sūtīšanu: %1"
"Note text is empty.","Piezīmes teksts ir tukšs."
"Note added to request #%1.","Piezīme pievienota pieprasījumam #%1."
"Request #%1 approved.","Pieprasījums #%1 apstiprināts."
"Request #%1 cancelled.","Pieprasījums #%1 atcelts."
"Request #%1 denied.","Pieprasījums #%1 noraidīts."
"Invalid request id.","Nederīgs pieprasījuma ID."
"Unable to open temporary file for CSV export.","Nevar atvērt pagaidu failu CSV eksportēšanai."
"Withdrawal Requests","Atteikuma pieprasījumi"
