"View Credit Memo","Vaata kreeditarvet"
"Issue Credit Memo","Väljasta kreeditarve"
"Approve","Kinnita"
"Approve this withdrawal request?","Kinnitada see taganemistaotlus?"
"Deny","Keeldu"
"Legal reason for denial (min 10 chars):","Õiguslik põhjus keeldumiseks (min 10 tähemärki):"
"Cancel Request","Tühista taotlus"
"Cancel this withdrawal? Add an optional note for the customer (visible in their cancellation email):","Tühistada see taganemine? Lisage kliendile valikuline märkus (nähtav tema tühistamise e-kirjas):"
"Resend Receipt","Saada kviitung uuesti"
"Send the receipt email again? The customer will receive another copy.","Saata kviitungi e-kiri uuesti? Klient saab veel ühe koopia."
"Withdrawal Request #%1","Taganemistaotlus #%1"
"Request Details","Taotluse andmed"
"Information","Teave"
"Reason for Denial","Keeldumise põhjus"
"Customer Cancellation Note","Kliendi tühistusmärkus"
"Cancellation Note","Tühistusmärkus"
"Status-Change Note","Olekumuutuse märkus"
"Code","Kood"
"Label","Silt"
"Add Reason","Lisa põhjus"
"In progress","Käimas"
"Refund issued","Tagasimakse väljastatud"
"Denied","Keeldutud"
"Cancelled","Tühistatud"
"Pending","Ootel"
"This is a transactional email about your order.","See on tehinguga seotud e-kiri teie tellimuse kohta."
"Reason for denial","Keeldumise põhjus"
"Your cancellation note","Sinu tühistusmärkus"
"Note from our team","Märkus meie meeskonnalt"
"EU right of withdrawal","EL-i taganemisõigus"
"Withdrawal right pending delivery","Taganemisõigus ootab kohaletoimetamist"
"Withdrawal window has ended","Taganemise tähtaeg möödunud"
"Not eligible for withdrawal","Taganemine ei ole võimalik"
"Withdrawal already requested","Taganemistaotlus on juba esitatud"
"You can withdraw from this contract any time — the %1-day deadline begins counting once the order is delivered.","Sellest lepingust saate taganeda igal ajal — %1-päevane tähtaeg hakkab kulgema alates tellimuse kohaletoimetamisest."
"Your %1-day withdrawal window will begin once this order is delivered.","Teie %1-päevane taganemisaken algab pärast selle tellimuse kohaletoimetamist."
"The %1-day window for withdrawing from this contract has ended.","Sellest lepingust taganemise %1-päevane tähtaeg on lõppenud."
"This order is not eligible for withdrawal under EU consumer law (Art. 16 Directive 2011/83/EU).","See tellimus ei kuulu EL tarbijaõiguse alusel taganemisele (art. 16 direktiiv 2011/83/EL)."
"A withdrawal request for this order has been submitted. See the request details below.","Selle tellimuse kohta on esitatud taganemistaotlus. Vaadake taotluse üksikasju allpool."
"This order contains a perishable item that cannot be returned (food with short shelf life, fresh flowers, etc.).","See tellimus sisaldab kiiresti riknevat kaupa, mida ei saa tagastada (lühikese säilivusajaga toit, värsked lilled jms)."
"This order contains a custom-made or personalised item that cannot be returned.","See tellimus sisaldab tellimustööna valmistatud või isikupärastatud toodet, mida ei saa tagastada."
"This order contains a sealed hygiene item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","See tellimus sisaldab pitseeritud hügieenitoodet. Taganemisõigus säilib ainult seni, kuni pitser on terve — pärast kohaletoimetamist pitseri avamisel see õigus kaob."
"This order contains a sealed audio / video / software item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","See tellimus sisaldab pitseeritud heli- / video- / tarkvaratoodet. Taganemisõigus säilib ainult seni, kuni pitser on terve — pärast kohaletoimetamist pitseri avamisel see õigus kaob."
"This order contains digital content. Once you start using or downloading the content, you lose the right of withdrawal (you consented to this at checkout).","See tellimus sisaldab digitaalset sisu. Kui alustate sisu kasutamist või allalaadimist, kaotate taganemisõiguse (andsite sellele kassas nõusoleku)."
"%1 item(s) · Refund %2","%1 toode/toodet · Tagasimakse %2"
"Awaiting confirmation","Ootab kinnitust"
"Cancel withdrawal %1? Your refund will not be processed.","Tühistada taganemine %1? Teie tagasimakset ei töödelda."
"Submitted","Esitatud"
"Approved","Kinnitatud"
"Fully returned","Täielikult tagastatud"
"Return requested","Tagastust taotletud"
"Not eligible","Mittevastav"
"Partially requested","Osaliselt taotletud"
"— Select a reason —","— Valige põhjus —"
"Other","Muu"
"The refund will be issued using your original payment method within 5-7 business days after we receive your return.","Raha tagastatakse algse maksemeetodiga 5–7 tööpäeva jooksul pärast tagastatud kauba saamist."
"Withdrawal right lost (Art. 16(m) CRD) — digital performance started on %1.","Taganemisõigus kaotatud (art. 16(m) tarbija õiguste direktiiv) — digitaalse sisu täitmine algas %1."
"Request #%1 not found.","Taotlust #%1 ei leitud."
"Receipt email re-queued for request #%1. Delivery will retry asynchronously.","Kviitungi e-kiri pandi taotluse #%1 jaoks uuesti järjekorda. Kohaletoimetamist proovitakse asünkroonselt uuesti."
"Failed to queue receipt resend: %1","Kviitungi taas-saatmise järjekorda lisamine ebaõnnestus: %1"
"Note text is empty.","Märkuse tekst on tühi."
"Note added to request #%1.","Märkus lisatud taotlusele #%1."
"Request #%1 approved.","Taotlus #%1 kinnitatud."
"Request #%1 cancelled.","Taotlus #%1 tühistatud."
"Request #%1 denied.","Taotlusest #%1 keelduti."
"Invalid request id.","Vigane taotluse ID."
"Unable to open temporary file for CSV export.","CSV-eksportimiseks ei õnnestu ajutist faili avada."
"Withdrawal Requests","Taganemistaotlused"
"%1 requests queued for acceptance.","%1 taotlust pandi kinnitamiseks järjekorda."
"%1 request(s) approved.","%1 taotlus(t) kinnitatud."
