"View Credit Memo","Vezi nota de credit"
"Issue Credit Memo","Emite nota de credit"
"Approve","Aprobă"
"Approve this withdrawal request?","Aprobați această cerere de retragere?"
"Deny","Respinge"
"Legal reason for denial (min 10 chars):","Temei juridic pentru respingere (minimum 10 caractere):"
"Cancel Request","Anulează cererea"
"Cancel this withdrawal? Add an optional note for the customer (visible in their cancellation email):","Anulați această retragere? Adăugați o notă opțională pentru client (vizibilă în e-mailul de anulare):"
"Resend Receipt","Retrimite chitanța"
"Send the receipt email again? The customer will receive another copy.","Retrimiteți e-mailul de confirmare? Clientul va primi încă un exemplar."
"Withdrawal Request #%1","Cerere de retragere #%1"
"Request Details","Detaliile cererii"
"Information","Informații"
"Reason for Denial","Motivul respingerii"
"Customer Cancellation Note","Notă de anulare a clientului"
"Cancellation Note","Notă de anulare"
"Status-Change Note","Notă privind modificarea stării"
"Code","Cod"
"Label","Etichetă"
"Add Reason","Adaugă motiv"
"In progress","În curs"
"Refund issued","Rambursare emisă"
"Denied","Respins"
"Cancelled","Anulat"
"Pending","În așteptare"
"This is a transactional email about your order.","Acesta este un e-mail tranzacțional referitor la comanda dvs."
"Reason for denial","Motivul respingerii"
"Your cancellation note","Nota dvs. de anulare"
"Note from our team","Mesaj de la echipa noastră"
"EU right of withdrawal","Drept de retragere UE"
"Withdrawal right pending delivery","Drept de retragere în așteptarea livrării"
"Withdrawal window has ended","Termenul de retragere a expirat"
"Not eligible for withdrawal","Nu se poate retrage"
"Withdrawal already requested","Cerere de retragere deja trimisă"
"You can withdraw from this contract any time — the 14-day deadline begins counting once the order is delivered.","Puteți să vă retrageți din acest contract oricând — termenul de 14 zile începe să curgă din momentul livrării comenzii."
"Your 14-day withdrawal window will begin once this order is delivered.","Termenul dvs. de retragere de 14 zile va începe din momentul livrării acestei comenzi."
"The 14-day window for withdrawing from this contract has ended.","Termenul de 14 zile pentru retragerea din acest contract a expirat."
"This order is not eligible for withdrawal under EU consumer law (Art. 16 Directive 2011/83/EU).","Această comandă nu este eligibilă pentru retragere conform legislației UE privind protecția consumatorilor (art. 16 Directiva 2011/83/UE)."
"A withdrawal request for this order has been submitted. See the request details below.","Pentru această comandă a fost trimisă o cerere de retragere. Vedeți detaliile cererii mai jos."
"This order contains a perishable item that cannot be returned (food with short shelf life, fresh flowers, etc.).","Această comandă conține un articol perisabil care nu poate fi returnat (alimente cu termen scurt de valabilitate, flori proaspete etc.)."
"This order contains a custom-made or personalised item that cannot be returned.","Această comandă conține un articol realizat la comandă sau personalizat care nu poate fi returnat."
"This order contains a sealed hygiene item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","Această comandă conține un articol de igienă sigilat. Păstrați dreptul de retragere doar atât timp cât sigiliul rămâne intact — odată desigilat după livrare, dreptul se pierde."
"This order contains a sealed audio / video / software item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","Această comandă conține un articol audio / video / software sigilat. Păstrați dreptul de retragere doar atât timp cât sigiliul rămâne intact — odată desigilat după livrare, dreptul se pierde."
"This order contains digital content. Once you start using or downloading the content, you lose the right of withdrawal (you consented to this at checkout).","Această comandă conține conținut digital. Odată ce începeți să utilizați sau să descărcați conținutul, pierdeți dreptul de retragere (ați consimțit la acest lucru la finalizarea comenzii)."
"%1 item(s) · Refund %2","%1 articol(e) · Rambursare %2"
"Awaiting confirmation","Așteaptă confirmarea"
"Cancel withdrawal %1? Your refund will not be processed.","Anulați retragerea %1? Rambursarea dvs. nu va fi procesată."
"Submitted","Trimis"
"Approved","Aprobat"
"Fully returned","Returnat integral"
"Return requested","Returnare solicitată"
"Not eligible","Neeligibil"
"Partially requested","Solicitat parțial"
"— Select a reason —","— Selectați un motiv —"
"Other","Altul"
"The refund will be issued using your original payment method within 5-7 business days after we receive your return.","Rambursarea va fi efectuată folosind metoda dvs. inițială de plată în termen de 5-7 zile lucrătoare de la primirea returului."
"Withdrawal right lost (Art. 16(m) CRD) — digital performance started on %1.","Drept de retragere pierdut (art. 16 lit. m) Directiva 2011/83/UE) — executarea digitală a început la %1."
"Request #%1 not found.","Cererea #%1 nu a fost găsită."
"Receipt email re-queued for request #%1. Delivery will retry asynchronously.","E-mailul de confirmare a fost reintrodus în coadă pentru cererea #%1. Livrarea va fi reîncercată asincron."
"Failed to queue receipt resend: %1","Punerea în coadă a retrimiterii confirmării a eșuat: %1"
"Note text is empty.","Textul notei este gol."
"Note added to request #%1.","Notă adăugată la cererea #%1."
"Request #%1 approved.","Cererea #%1 a fost aprobată."
"Request #%1 cancelled.","Cererea #%1 a fost anulată."
"Request #%1 denied.","Cererea #%1 a fost respinsă."
"Invalid request id.","ID cerere invalid."
"Unable to open temporary file for CSV export.","Nu se poate deschide fișierul temporar pentru exportul CSV."
"Withdrawal Requests","Cereri de retragere"
"%1 requests queued for acceptance.","%1 cereri puse în coadă pentru acceptare."
"%1 request(s) approved.","%1 cerere(i) aprobată(e)."
"%1 request(s) failed. First errors: %2","%1 cerere(i) au eșuat. Primele erori: %2"
"Note added to %1 request(s).","Notă adăugată la %1 cerere(i)."
"Underlying order #%1 not found.","Comanda asociată #%1 nu a fost găsită."
"Order #%1 has no invoice yet — Magento requires an invoice before a credit memo can be created. Open an invoice first (Sales → Orders → #%1 → Invoice button), then return here to refund.","Comanda #%1 nu are încă o factură — Magento necesită o factură înainte de a putea crea o notă de credit. Deschideți mai întâi o factură (Vânzări → Comenzi → #%1 → butonul Factură), apoi reveniți aici pentru a rambursa."
"No items recorded on this withdrawal request — the credit memo will open with default invoice qtys; please adjust manually.","Nu sunt înregistrate articole pentru această cerere de retragere — nota de credit se va deschide cu cantitățile implicite ale facturii; vă rugăm să le ajustați manual."
"Pre-filled credit memo for withdrawal #%1 — review the qtys + shipping refund below, then click Refund Online or Refund Offline.","Notă de credit precompletată pentru retragerea #%1 — verificați cantitățile + rambursarea transportului mai jos, apoi apăsați Rambursare online sau Rambursare offline."
"Some items are no longer eligible. Please reload and try again.","Unele articole nu mai sunt eligibile. Vă rugăm să reîncărcați pagina și să încercați din nou."
"We could not process your request. Please try again.","Nu am putut procesa cererea dvs. Vă rugăm să încercați din nou."
"Item","Articol"
"We could not find a matching order for that email.","Nu am găsit o comandă care să corespundă acestui e-mail."
"Withdraw from a contract","Retragere din contract"
"Withdrawal not found.","Retragerea nu a fost găsită."
"This withdrawal can no longer be cancelled online. Contact us if you need help.","Această retragere nu mai poate fi anulată online. Contactați-ne dacă aveți nevoie de ajutor."
"Withdrawal #%1 cancelled.","Retragerea #%1 a fost anulată."
"Please fill in all required fields.","Completați toate câmpurile obligatorii."
"%1 item(s) were excluded from the withdrawal because the seal is broken (Art. 16(e)/(i) Directive 2011/83/EU).","%1 articol(e) au fost excluse din retragere deoarece sigiliul este rupt (art. 16 lit. e)/(i) Directiva 2011/83/UE)."
"Please select at least one item to withdraw.","Vă rugăm să selectați cel puțin un articol pentru retragere."
"One or more items are no longer available for withdrawal. Please refresh and try again.","Unul sau mai multe articole nu mai sunt disponibile pentru retragere. Vă rugăm să reîmprospătați și să încercați din nou."
"None of the selected items are eligible for withdrawal.","Niciunul dintre articolele selectate nu este eligibil pentru retragere."
"Hash mismatch for quote item %1","Nepotrivire de hash pentru articolul ofertă %1"
"Requested qty %1 exceeds remaining %2 for order item %3","Cantitatea solicitată %1 depășește cantitatea rămasă %2 pentru articolul de comandă %3"
"No delivery confirmation recorded for this order yet.","Nu există încă o confirmare de livrare înregistrată pentru această comandă."
"No eligible items selected for withdrawal","Nu au fost selectate articole eligibile pentru retragere"
"Physical goods","Produse fizice"
"Digital content (non-tangible)","Conținut digital (intangibil)"
"Digital service (SaaS / subscription)","Serviciu digital (SaaS / abonament)"
"Financial services (not supported)","Servicii financiare (nu este acceptat)"
"Downloadable products","Produse descărcabile"
"Virtual products","Produse virtuale"
"Bundles containing digital children","Pachete care conțin componente digitale"
"Custom attribute flag","Marcaj atribut personalizat"
"locale_inheritance.xml missing at %1","locale_inheritance.xml lipsește la %1"
"locale_inheritance.xml unreadable at %1","locale_inheritance.xml ilizibil la %1"
"locale_inheritance.xml failed XSD validation: %1","validarea XSD a locale_inheritance.xml a eșuat: %1"
"Original payment method","Metoda inițială de plată"
"This is your durable-medium receipt for the withdrawal (Art. 11a(4) Directive 2011/83/EU).","Aceasta este confirmarea dvs. pe suport durabil pentru retragere (art. 11a alin. (4) Directiva 2011/83/UE)."
"This email is a notification about your withdrawal request.","Acest e-mail este o notificare privind cererea dvs. de retragere."
"5–7 business days","5–7 zile lucrătoare"
"This is a confirmation that your withdrawal request has been recorded.","Aceasta este o confirmare că cererea dvs. de retragere a fost înregistrată."
"MageMe EU Withdrawal is installed but not enabled. Review the compliance checklist and configure the module before enabling: <a href=""%1"">Stores → Configuration → MageMe Extensions → EU Withdrawal</a>.","MageMe EU Withdrawal este instalat, dar nu este activat. Verificați lista de conformitate și configurați modulul înainte de activare: <a href=""%1"">Magazine → Configurare → Extensii MageMe → Retragere UE</a>."
"Delivery confirmation status is not configured. Set Stores → Configuration → MageMe Extensions → EU Withdrawal → Withdrawal Period → Delivery Confirmation Statuses.","Starea de confirmare a livrării nu este configurată. Setați Magazine → Configurare → Extensii MageMe → Retragere UE → Perioadă de retragere → Stări de confirmare a livrării."
"No Annex I source found for locale %1 along chain %2","Nu s-a găsit nicio sursă Anexa I pentru limba %1 pe lanțul %2"
"Annex I source for locale %1 is malformed","Sursa Anexa I pentru limba %1 este malformată"
"Missing merchant variables for Annex I rendering: %1","Lipsesc variabile de comerciant pentru randarea Anexei I: %1"
"Receipt hash mismatch for request %1","Nepotrivire de hash al confirmării pentru cererea %1"
"Request %1 not found.","Cererea %1 nu a fost găsită."
"Denying a withdrawal request requires a legal basis of at least 10 characters.","Respingerea unei cereri de retragere necesită un temei juridic de cel puțin 10 caractere."
"Withdrawal request cannot transition from ""%1"" to ""%2"".","Cererea de retragere nu poate trece din „%1” în „%2”."
"Request %1 is not in pending_confirm state.","Cererea %1 nu este în starea pending_confirm."
"Withdrawal request #%1 does not exist.","Cererea de retragere #%1 nu există."
"No digital items on order %1","Nu există articole digitale în comanda %1"
"This is your durable-medium copy of the waiver you signed at checkout (Art. 11a(4) Directive 2011/83/EU).","Aceasta este copia dvs. pe suport durabil a consimțământului pe care l-ați semnat la finalizarea comenzii (art. 11a alin. (4) Directiva 2011/83/UE)."
"Waived","Renunțat"
"Waiver email render failed: %1","Randarea e-mailului de consimțământ a eșuat: %1"
"Digital content waiver text has changed — please reload checkout.","Textul consimțământului pentru conținut digital s-a modificat — vă rugăm să reîncărcați finalizarea comenzii."
"Digital content waiver is incomplete for item %1.","Consimțământul pentru conținut digital este incomplet pentru articolul %1."
"bad","necorespunzător"
"smtp down","smtp down"
"smtp","smtp"
"down","indisponibil"
"No shipment found for order 42.","Nu s-a găsit niciun transport pentru comanda 42."
"View","Vizualizează"
"Withdrawal & Customer Information","Informații despre retragere și client"
"Request # %1","Cerere # %1"
"Request Status","Stare cerere"
"Submitted At","Trimis la"
"Confirmed At","Confirmat la"
"Related Order","Comandă asociată"
"Jurisdiction","Jurisdicție"
"Contract Type","Tip contract"
"Receipt Status","Stare confirmare"
"%1 attempt(s)","%1 încercare(i)"
"Receipt Error","Eroare confirmare"
"Customer Information","Informații despre client"
"Customer Name","Numele clientului"
"Email","E-mail"
"Locale","Limbă"
"Items Selected for Withdrawal","Articole selectate pentru retragere"
