"View Credit Memo","Visa kreditnota"
"Issue Credit Memo","Utfärda kreditnota"
"Approve","Godkänn"
"Approve this withdrawal request?","Godkänn denna ångerbegäran?"
"Deny","Avslå"
"Legal reason for denial (min 10 chars):","Rättslig grund för avslag (min. 10 tecken):"
"Cancel Request","Avbryt begäran"
"Cancel this withdrawal? Add an optional note for the customer (visible in their cancellation email):","Avbryt detta ångerärende? Lägg eventuellt till en notering till kunden (visas i avbokningsmejlet):"
"Resend Receipt","Skicka kvitto igen"
"Send the receipt email again? The customer will receive another copy.","Skicka kvittensmejlet på nytt? Kunden kommer att få ytterligare en kopia."
"Withdrawal Request #%1","Ångerbegäran #%1"
"Request Details","Detaljer för begäran"
"Information","Information"
"Reason for Denial","Skäl för avslag"
"Customer Cancellation Note","Kundens avbokningsnotering"
"Cancellation Note","Avbokningsnotering"
"Status-Change Note","Notering vid statusändring"
"Code","Kod"
"Label","Etikett"
"Add Reason","Lägg till skäl"
"In progress","Pågår"
"Refund issued","Återbetalning utfärdad"
"Denied","Avslagen"
"Cancelled","Avbruten"
"Pending","Väntar"
"This is a transactional email about your order.","Detta är ett transaktionsmejl om din order."
"Reason for denial","Skäl för avslag"
"Your cancellation note","Din avbokningsnotering"
"Note from our team","Meddelande från oss"
"EU right of withdrawal","EU:s ångerrätt"
"Withdrawal right pending delivery","Ångerrätt väntar på leverans"
"Withdrawal window has ended","Ångerfrist har löpt ut"
"Not eligible for withdrawal","Berättigar inte till ångerrätt"
"Withdrawal already requested","Ångerbegäran redan inskickad"
"You can withdraw from this contract any time — the 14-day deadline begins counting once the order is delivered.","Du kan frånträda detta avtal när som helst — 14-dagarsfristen börjar löpa när ordern har levererats."
"Your 14-day withdrawal window will begin once this order is delivered.","Din 14-dagars ångerfrist börjar löpa när denna order har levererats."
"The 14-day window for withdrawing from this contract has ended.","14-dagarsfristen för att frånträda detta avtal har löpt ut."
"This order is not eligible for withdrawal under EU consumer law (Art. 16 Directive 2011/83/EU).","Denna order är inte berättigad till ångerrätt enligt EU:s konsumentlagstiftning (art. 16 direktiv 2011/83/EU)."
"A withdrawal request for this order has been submitted. See the request details below.","En ångerbegäran har skickats in för denna beställning. Se detaljer för begäran nedan."
"This order contains a perishable item that cannot be returned (food with short shelf life, fresh flowers, etc.).","Denna order innehåller en lättfördärvlig vara som inte kan returneras (livsmedel med kort hållbarhet, färska blommor m.m.)."
"This order contains a custom-made or personalised item that cannot be returned.","Denna order innehåller en specialtillverkad eller personlig vara som inte kan returneras."
"This order contains a sealed hygiene item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","Denna order innehåller en förseglad hygienartikel. Du behåller ångerrätten endast så länge förseglingen är intakt — när förseglingen brutits efter leverans förloras rätten."
"This order contains a sealed audio / video / software item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","Denna order innehåller en förseglad ljud-/video-/programvaruvara. Du behåller ångerrätten endast så länge förseglingen är intakt — när förseglingen brutits efter leverans förloras rätten."
"This order contains digital content. Once you start using or downloading the content, you lose the right of withdrawal (you consented to this at checkout).","Denna order innehåller digitalt innehåll. Så snart du börjar använda eller ladda ner innehållet förlorar du ångerrätten (du samtyckte till detta i kassan)."
"%1 item(s) · Refund %2","%1 artikel(ar) · Återbetalning %2"
"Awaiting confirmation","Väntar på bekräftelse"
"Cancel withdrawal %1? Your refund will not be processed.","Avbryt ångerärende %1? Din återbetalning kommer inte att behandlas."
"Submitted","Inskickad"
"Approved","Godkänd"
"Fully returned","Fullständigt returnerad"
"Return requested","Retur begärd"
"Not eligible","Inte berättigad"
"Partially requested","Delvis begärd"
"— Select a reason —","— Välj ett skäl —"
"Other","Annat"
"The refund will be issued using your original payment method within 5-7 business days after we receive your return.","Återbetalningen kommer att göras via din ursprungliga betalningsmetod inom 5-7 arbetsdagar efter att vi mottagit din retur."
"Withdrawal right lost (Art. 16(m) CRD) — digital performance started on %1.","Ångerrätt förlorad (art. 16(m) CRD) — digital leverans påbörjad %1."
"Request #%1 not found.","Begäran #%1 hittades inte."
"Receipt email re-queued for request #%1. Delivery will retry asynchronously.","Kvittensmejlet för begäran #%1 har lagts i kö igen. Leveransen försöks om asynkront."
"Failed to queue receipt resend: %1","Det gick inte att köa omsändning av kvitto: %1"
"Note text is empty.","Noteringstexten är tom."
"Note added to request #%1.","Notering tillagd på begäran #%1."
"Request #%1 approved.","Begäran #%1 godkänd."
"Request #%1 cancelled.","Begäran #%1 avbruten."
"Request #%1 denied.","Begäran #%1 avslagen."
"Invalid request id.","Ogiltigt begäran-ID."
"Unable to open temporary file for CSV export.","Det gick inte att öppna temporär fil för CSV-export."
"Withdrawal Requests","Ångerbegäranden"
"%1 requests queued for acceptance.","%1 begäranden köade för godkännande."
"%1 request(s) approved.","%1 begäran(/-anden) godkänd(a)."
"%1 request(s) failed. First errors: %2","%1 begäran(/-anden) misslyckades. Första felen: %2"
"Note added to %1 request(s).","Notering tillagd på %1 begäran(/-anden)."
"Underlying order #%1 not found.","Underliggande order #%1 hittades inte."
"Order #%1 has no invoice yet — Magento requires an invoice before a credit memo can be created. Open an invoice first (Sales → Orders → #%1 → Invoice button), then return here to refund.","Order #%1 har ännu ingen faktura — Magento kräver en faktura innan en kreditnota kan skapas. Skapa en faktura först (Sälj → Ordrar → #%1 → knappen Fakturera) och återvänd sedan hit för att återbetala."
"No items recorded on this withdrawal request — the credit memo will open with default invoice qtys; please adjust manually.","Inga artiklar är registrerade på denna ångerbegäran — kreditnotan öppnas med standardantal från fakturan; justera manuellt."
"Pre-filled credit memo for withdrawal #%1 — review the qtys + shipping refund below, then click Refund Online or Refund Offline.","Förifylld kreditnota för ångerärende #%1 — granska antal och fraktåterbetalning nedan och klicka sedan på Återbetala online eller Återbetala offline."
"Some items are no longer eligible. Please reload and try again.","Vissa artiklar är inte längre berättigade. Ladda om sidan och försök igen."
"We could not process your request. Please try again.","Vi kunde inte behandla din begäran. Försök igen."
"Item","Artikel"
"We could not find a matching order for that email.","Vi kunde inte hitta någon matchande order för den e-postadressen."
"Withdraw from a contract","Ångra avtalet"
"Withdrawal not found.","Ångerärende hittades inte."
"This withdrawal can no longer be cancelled online. Contact us if you need help.","Detta ångerärende kan inte längre avbrytas online. Kontakta oss om du behöver hjälp."
"Withdrawal #%1 cancelled.","Ångerärende #%1 avbrutet."
"Please fill in all required fields.","Fyll i alla obligatoriska fält."
"%1 item(s) were excluded from the withdrawal because the seal is broken (Art. 16(e)/(i) Directive 2011/83/EU).","%1 artikel(/-ar) uteslöts från ångerärendet eftersom förseglingen är bruten (art. 16(e)/(i) direktiv 2011/83/EU)."
"Please select at least one item to withdraw.","Välj minst en artikel för ångerrätt."
"One or more items are no longer available for withdrawal. Please refresh and try again.","En eller flera artiklar är inte längre tillgängliga för ångerrätt. Ladda om sidan och försök igen."
"None of the selected items are eligible for withdrawal.","Ingen av de valda artiklarna är berättigad till ångerrätt."
"Hash mismatch for quote item %1","Hash-matchning misslyckades för offertrad %1"
"Requested qty %1 exceeds remaining %2 for order item %3","Begärt antal %1 överstiger återstående %2 för orderrad %3"
"No delivery confirmation recorded for this order yet.","Ingen leveransbekräftelse är ännu registrerad för denna order."
"No eligible items selected for withdrawal","Inga berättigade artiklar har valts för ångerrätt"
"Physical goods","Fysiska varor"
"Digital content (non-tangible)","Digitalt innehåll (icke-fysiskt)"
"Digital service (SaaS / subscription)","Digital tjänst (SaaS/prenumeration)"
"Financial services (Enterprise tier)","Finansiella tjänster (Enterprise-nivå)"
"Downloadable products","Nedladdningsbara produkter"
"Virtual products","Virtuella produkter"
"Bundles containing digital children","Paket som innehåller digitala underartiklar"
"Custom attribute flag","Flagga för anpassat attribut"
"locale_inheritance.xml missing at %1","locale_inheritance.xml saknas vid %1"
"locale_inheritance.xml unreadable at %1","locale_inheritance.xml går inte att läsa vid %1"
"locale_inheritance.xml failed XSD validation: %1","locale_inheritance.xml klarade inte XSD-validering: %1"
"Original payment method","Ursprunglig betalningsmetod"
"This is your durable-medium receipt for the withdrawal (Art. 11a(4) Directive 2011/83/EU).","Detta är ditt kvitto i varaktig form för ångerärendet (art. 11a(4) direktiv 2011/83/EU)."
"This email is a notification about your withdrawal request.","Detta mejl är ett meddelande om ditt ångerärende."
"5–7 business days","5–7 arbetsdagar"
"This is a confirmation that your withdrawal request has been recorded.","Detta är en bekräftelse på att ditt ångerärende har registrerats."
"MageMe EU Withdrawal is installed but not enabled. Review the compliance checklist and configure the module before enabling: <a href=""%1"">Stores → Configuration → MageMe Extensions → EU Withdrawal</a>.","MageMe EU Withdrawal är installerad men inte aktiverad. Gå igenom efterlevnadschecklistan och konfigurera modulen innan du aktiverar den: <a href=""%1"">Butiker → Konfiguration → MageMe-tillägg → EU Withdrawal</a>."
"Delivery confirmation status is not configured. Set Stores → Configuration → MageMe Extensions → EU Withdrawal → Withdrawal Period → Delivery Confirmation Statuses.","Status för leveransbekräftelse är inte konfigurerad. Ställ in Butiker → Konfiguration → MageMe-tillägg → EU Withdrawal → Ångerfrist → Statusar för leveransbekräftelse."
"No Annex I source found for locale %1 along chain %2","Ingen källa för bilaga I hittades för språket %1 i kedjan %2"
"Annex I source for locale %1 is malformed","Källan för bilaga I för språket %1 är felaktigt formaterad"
"Missing merchant variables for Annex I rendering: %1","Saknade handlarvariabler för rendering av bilaga I: %1"
"Receipt hash mismatch for request %1","Hash-matchning av kvitto misslyckades för begäran %1"
"Request %1 not found.","Begäran %1 hittades inte."
"Denying a withdrawal request requires a legal basis of at least 10 characters.","Avslag av en ångerbegäran kräver en rättslig grund på minst 10 tecken."
"Withdrawal request cannot transition from ""%1"" to ""%2"".","Ångerbegäran kan inte gå från ""%1"" till ""%2""."
"Request %1 is not in pending_confirm state.","Begäran %1 är inte i tillståndet pending_confirm."
"Withdrawal request #%1 does not exist.","Ångerbegäran #%1 finns inte."
"No digital items on order %1","Inga digitala artiklar i ordern %1"
"This is your durable-medium copy of the waiver you signed at checkout (Art. 11a(4) Directive 2011/83/EU).","Detta är din kopia i varaktig form av det avstående du undertecknade i kassan (art. 11a(4) direktiv 2011/83/EU)."
"Waived","Avstått"
"Waiver email render failed: %1","Rendering av samtyckes-e-post misslyckades: %1"
"Digital content waiver text has changed — please reload checkout.","Texten för samtycket till digitalt innehåll har ändrats — ladda om kassan."
"Digital content waiver is incomplete for item %1.","Samtycket till digitalt innehåll är ofullständigt för rad %1."
"bad","dåligt"
"smtp down","smtp down"
"smtp","smtp"
"down","nere"
"No shipment found for order 42.","Ingen leverans hittades för order 42."
"View","Visa"
"Withdrawal & Customer Information","Ångerärende och kunduppgifter"
"Request # %1","Begäran nr %1"
"Request Status","Status för begäran"
"Submitted At","Inskickad"
"Confirmed At","Bekräftad"
"Related Order","Relaterad order"
"Jurisdiction","Jurisdiktion"
"Contract Type","Avtalstyp"
"Receipt Status","Kvittostatus"
"%1 attempt(s)","%1 försök"
"Receipt Error","Fel på kvitto"
"Customer Information","Kunduppgifter"
"Customer Name","Kundens namn"
"Email","E-post"
"Locale","Språk"
"Items Selected for Withdrawal","Artiklar valda för ångerrätt"
"Product","Produkt"
"Price","Pris"
"Qty","Antal"
"Subtotal","Delsumma"
"Refund","Återbetalning"
"Reason","Anledning"
"Eligibility","Berättigande"
"No items associated with this request.","Inga artiklar är kopplade till denna begäran."
"SKU","SKU"
"Ordered","Beställt"
"Withdrawing","Ångrar"
"Refund Total","Total återbetalning"
"Notes for this Request","Anteckningar för denna begäran"
"Internal notes — visible to admin staff only. Not sent to the customer.","Interna anteckningar — synliga endast för administratörer. Skickas inte till kunden."
"Comment","Kommentar"
"Add internal note (max 2000 chars)","Lägg till intern anteckning (max 2000 tecken)"
"Submit Comment","Skicka kommentar"
"No comments added yet.","Inga kommentarer har lagts till ännu."
" by %1"," av %1"
"Refund Totals","Totaler för återbetalning"
"Items Subtotal","Delsumma artiklar"
"Shipping Refund","Återbetalning av frakt"
"Total Refund","Total återbetalning"
"Changes have been made to this section that have not been saved.","Ändringar har gjorts i detta avsnitt som inte har sparats."
"This tab contains invalid data. Please resolve this before saving.","Denna flik innehåller ogiltiga uppgifter. Åtgärda detta innan du sparar."
"Contact us","Kontakta oss"
"Returns","Returer"
"FAQs","Vanliga frågor"
"All rights reserved.","Alla rättigheter förbehållna."
"Returned items","Returnerade artiklar"
"No image","Ingen bild"
"Item status","Artikelstatus"
"Withdrawal options for this order","Ångerrättsalternativ för denna order"
"You can return this order until %1.","Du kan returnera denna order fram till %1."
"(Art. 11a Directive 2011/83/EU)","(Art. 11a direktiv 2011/83/EU)"
"Submit a withdrawal request to start the refund process.","Skicka in en ångerbegäran för att starta återbetalningsprocessen."
"(Art. 9(2)(b) Directive 2011/83/EU)","(Art. 9(2)(b) direktiv 2011/83/EU)"
"Start withdrawal","Starta ångerrätt"
"Your withdrawal requests","Dina ångerärenden"
"Submitted %1","Inskickat %1"
"Show items","Visa artiklar"
"Cancel withdrawal","Avbryt ångerärende"
"Qty %1","Antal %1"
"Receipt details","Kvittodetaljer"
"Receipt number","Kvittonummer"
"Order number","Ordernummer"
"Confirmed","Bekräftad"
"Consumer","Konsument"
"Refund total","Total återbetalning"
"Merchant","Handlare"
"Legal basis","Rättslig grund"
"SKU %1","SKU %1"
"Shipping refund","Återbetalning av frakt"
"Tax refund","Återbetalning av skatt"
"Total refund","Total återbetalning"
"Digital content — Art. 16(m) notice","Digitalt innehåll — Meddelande enligt art. 16(m)"
"By placing the order you agreed to begin performance of the digital content before the end of the withdrawal period and acknowledged that, once performance has begun, the right of withdrawal no longer applies. This notice is shown for your records.","Genom att lägga ordern samtyckte du till att leveransen av det digitala innehållet påbörjas innan ångerfristen löper ut och bekräftade att ångerrätten inte längre gäller när leveransen har påbörjats. Detta meddelande visas för dina handlingar."
"Existing withdrawals for this order","Befintliga ångerärenden för denna order"
"You can cancel a withdrawal here until it is approved.","Du kan avbryta ett ångerärende här tills det godkänns."
"Request #%1","Begäran #%1"
"SKU: %1","SKU: %1"
"Estimated refund: %1 %2","Beräknad återbetalning: %1 %2"
"Cancel this withdrawal","Avbryt detta ångerärende"
"Are you sure? This cannot be undone.","Är du säker? Detta kan inte ångras."
"Yes, cancel","Ja, avbryt"
"Keep it","Behåll"
