"View Credit Memo","Creditnota bekijken"
"Issue Credit Memo","Creditnota uitgeven"
"Approve","Goedkeuren"
"Approve this withdrawal request?","Dit herroepingsverzoek goedkeuren?"
"Deny","Weigeren"
"Legal reason for denial (min 10 chars):","Wettelijke reden voor weigering (min. 10 tekens):"
"Cancel Request","Verzoek annuleren"
"Cancel this withdrawal? Add an optional note for the customer (visible in their cancellation email):","Deze herroeping annuleren? Voeg een optionele notitie toe voor de klant (zichtbaar in zijn annuleringsmail):"
"Resend Receipt","Bewijs opnieuw verzenden"
"Send the receipt email again? The customer will receive another copy.","Bewijsmail opnieuw verzenden? De klant ontvangt een tweede exemplaar."
"Withdrawal Request #%1","Herroepingsverzoek #%1"
"Request Details","Details van het verzoek"
"Information","Informatie"
"Reason for Denial","Reden voor weigering"
"Customer Cancellation Note","Annuleringsnotitie van klant"
"Cancellation Note","Annuleringsnotitie"
"Status-Change Note","Notitie statuswijziging"
"Code","Code"
"Label","Label"
"Add Reason","Reden toevoegen"
"In progress","In behandeling"
"Refund issued","Terugbetaling uitgegeven"
"Denied","Geweigerd"
"Cancelled","Geannuleerd"
"Pending","In afwachting"
"This is a transactional email about your order.","Dit is een transactiemail over uw bestelling."
"Reason for denial","Reden voor weigering"
"Your cancellation note","Uw annuleringsnotitie"
"Note from our team","Bericht van ons team"
"EU right of withdrawal","EU-herroepingsrecht"
"Withdrawal right pending delivery","Herroepingsrecht in afwachting van levering"
"Withdrawal window has ended","Herroepingstermijn verstreken"
"Not eligible for withdrawal","Niet in aanmerking voor herroeping"
"Withdrawal already requested","Herroepingsverzoek al ingediend"
"You can withdraw from this contract any time — the %1-day deadline begins counting once the order is delivered.","U kunt deze overeenkomst op elk moment herroepen — de termijn van %1 dagen gaat in zodra de bestelling is geleverd."
"Your %1-day withdrawal window will begin once this order is delivered.","Uw herroepingstermijn van %1 dagen gaat in zodra deze bestelling is geleverd."
"The %1-day window for withdrawing from this contract has ended.","De termijn van %1 dagen om deze overeenkomst te herroepen is verstreken."
"This order is not eligible for withdrawal under EU consumer law (Art. 16 Directive 2011/83/EU).","Deze bestelling komt niet in aanmerking voor herroeping onder het EU-consumentenrecht (Art. 16 Richtlijn 2011/83/EU)."
"A withdrawal request for this order has been submitted. See the request details below.","Voor deze bestelling is een herroepingsverzoek ingediend. Zie de details van het verzoek hieronder."
"This order contains a perishable item that cannot be returned (food with short shelf life, fresh flowers, etc.).","Deze bestelling bevat een bederfelijk artikel dat niet kan worden geretourneerd (voedingsmiddelen met een korte houdbaarheid, verse bloemen, enz.)."
"This order contains a custom-made or personalised item that cannot be returned.","Deze bestelling bevat een op maat gemaakt of gepersonaliseerd artikel dat niet kan worden geretourneerd."
"This order contains a sealed hygiene item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","Deze bestelling bevat een verzegeld hygiëneartikel. U behoudt het herroepingsrecht alleen zolang de verzegeling intact blijft — zodra deze na levering wordt verbroken, vervalt het recht."
"This order contains a sealed audio / video / software item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","Deze bestelling bevat een verzegeld audio-/video-/software-artikel. U behoudt het herroepingsrecht alleen zolang de verzegeling intact blijft — zodra deze na levering wordt verbroken, vervalt het recht."
"This order contains digital content. Once you start using or downloading the content, you lose the right of withdrawal (you consented to this at checkout).","Deze bestelling bevat digitale inhoud. Zodra u de inhoud gaat gebruiken of downloaden, verliest u het herroepingsrecht (u heeft hiermee bij het afrekenen ingestemd)."
"%1 item(s) · Refund %2","%1 artikel(en) · Terugbetaling %2"
"Awaiting confirmation","In afwachting van bevestiging"
"Cancel withdrawal %1? Your refund will not be processed.","Herroeping %1 annuleren? Uw terugbetaling wordt niet verwerkt."
"Submitted","Ingediend"
"Approved","Goedgekeurd"
"Fully returned","Volledig geretourneerd"
"Return requested","Retour aangevraagd"
"Not eligible","Niet in aanmerking"
"Partially requested","Gedeeltelijk aangevraagd"
"— Select a reason —","— Kies een reden —"
"Other","Overig"
"The refund will be issued using your original payment method within 5-7 business days after we receive your return.","De terugbetaling wordt verwerkt via uw oorspronkelijke betaalmethode binnen 5-7 werkdagen na ontvangst van uw retour."
"Withdrawal right lost (Art. 16(m) CRD) — digital performance started on %1.","Herroepingsrecht vervallen (Art. 16(m) Richtlijn consumentenrechten) — uitvoering van de digitale inhoud begonnen op %1."
"Request #%1 not found.","Verzoek #%1 niet gevonden."
"Receipt email re-queued for request #%1. Delivery will retry asynchronously.","Bewijsmail opnieuw in de wachtrij geplaatst voor verzoek #%1. Verzending wordt asynchroon opnieuw geprobeerd."
"Failed to queue receipt resend: %1","Opnieuw in wachtrij plaatsen van bewijsmail mislukt: %1"
"Note text is empty.","Notitietekst is leeg."
"Note added to request #%1.","Notitie toegevoegd aan verzoek #%1."
"Request #%1 approved.","Verzoek #%1 goedgekeurd."
"Request #%1 cancelled.","Verzoek #%1 geannuleerd."
"Request #%1 denied.","Verzoek #%1 geweigerd."
"Invalid request id.","Ongeldig verzoek-ID."
"Unable to open temporary file for CSV export.","Tijdelijk bestand voor CSV-export kan niet worden geopend."
"Withdrawal Requests","Herroepingsverzoeken"
"%1 requests queued for acceptance.","%1 verzoeken in de wachtrij geplaatst voor goedkeuring."
"%1 request(s) approved.","%1 verzoek(en) goedgekeurd."
"%1 request(s) failed. First errors: %2","%1 verzoek(en) mislukt. Eerste fouten: %2"
"Note added to %1 request(s).","Notitie toegevoegd aan %1 verzoek(en)."
"Underlying order #%1 not found.","Onderliggende bestelling #%1 niet gevonden."
