"View Credit Memo","Peržiūrėti kreditinį dokumentą"
"Issue Credit Memo","Išrašyti kreditinį dokumentą"
"Approve","Patvirtinti"
"Approve this withdrawal request?","Patvirtinti šį atsisakymo prašymą?"
"Deny","Atmesti"
"Legal reason for denial (min 10 chars):","Teisinė atmetimo priežastis (min. 10 simbolių):"
"Cancel Request","Atšaukti prašymą"
"Cancel this withdrawal? Add an optional note for the customer (visible in their cancellation email):","Atšaukti šį atsisakymą? Pridėkite neprivalomą pastabą klientui (matoma jo atšaukimo el. laiške):"
"Resend Receipt","Persiųsti kvitą"
"Send the receipt email again? The customer will receive another copy.","Išsiųsti kvitą iš naujo? Klientas gaus dar vieną kopiją."
"Withdrawal Request #%1","Atsisakymo prašymas #%1"
"Request Details","Prašymo informacija"
"Information","Informacija"
"Reason for Denial","Atmetimo priežastis"
"Customer Cancellation Note","Kliento atšaukimo pastaba"
"Cancellation Note","Atšaukimo pastaba"
"Status-Change Note","Būsenos keitimo pastaba"
"Code","Kodas"
"Label","Etiketė"
"Add Reason","Pridėti priežastį"
"In progress","Vykdoma"
"Refund issued","Pinigai grąžinti"
"Denied","Atmesta"
"Cancelled","Atšaukta"
"Pending","Laukiama"
"This is a transactional email about your order.","Tai operacinis el. laiškas apie jūsų užsakymą."
"Reason for denial","Atmetimo priežastis"
"Your cancellation note","Jūsų atšaukimo pastaba"
"Note from our team","Mūsų komandos pastaba"
"EU right of withdrawal","ES atsisakymo teisė"
"Withdrawal right pending delivery","Atsisakymo teisė laukia pristatymo"
"Withdrawal window has ended","Atsisakymo terminas pasibaigė"
"Not eligible for withdrawal","Atsisakyti negalima"
"Withdrawal already requested","Prašymas atsisakyti jau pateiktas"
"You can withdraw from this contract any time — the 14-day deadline begins counting once the order is delivered.","Šios sutarties galite atsisakyti bet kuriuo metu — 14 dienų terminas pradedamas skaičiuoti pristačius užsakymą."
"Your 14-day withdrawal window will begin once this order is delivered.","Jūsų 14 dienų atsisakymo terminas prasidės pristačius šį užsakymą."
"The 14-day window for withdrawing from this contract has ended.","14 dienų laikotarpis šios sutarties atsisakyti pasibaigė."
"This order is not eligible for withdrawal under EU consumer law (Art. 16 Directive 2011/83/EU).","Šio užsakymo negalima atsisakyti pagal ES vartotojų teisės aktus (Direktyvos 2011/83/ES 16 straipsnis)."
"A withdrawal request for this order has been submitted. See the request details below.","Šiam užsakymui pateiktas prašymas atsisakyti. Prašymo informaciją žr. žemiau."
