"View Credit Memo","Zobacz notę kredytową"
"Issue Credit Memo","Wystaw notę kredytową"
"Approve","Zatwierdź"
"Approve this withdrawal request?","Zatwierdzić ten wniosek o odstąpienie?"
"Deny","Odrzuć"
"Legal reason for denial (min 10 chars):","Podstawa prawna odmowy (min. 10 znaków):"
"Cancel Request","Anuluj wniosek"
"Cancel this withdrawal? Add an optional note for the customer (visible in their cancellation email):","Anulować to odstąpienie? Dodaj opcjonalną notatkę dla klienta (widoczną w jego e-mailu z anulowaniem):"
"Resend Receipt","Wyślij potwierdzenie ponownie"
"Send the receipt email again? The customer will receive another copy.","Wysłać e-mail z potwierdzeniem ponownie? Klient otrzyma kolejną kopię."
"Withdrawal Request #%1","Wniosek o odstąpienie #%1"
"Request Details","Szczegóły wniosku"
"Information","Informacje"
"Reason for Denial","Powód odmowy"
"Customer Cancellation Note","Notatka klienta o anulowaniu"
"Cancellation Note","Notatka o anulowaniu"
"Status-Change Note","Notatka o zmianie statusu"
"Code","Kod"
"Label","Etykieta"
"Add Reason","Dodaj powód"
"In progress","W trakcie realizacji"
"Refund issued","Zwrot wystawiony"
"Denied","Odrzucone"
"Cancelled","Anulowane"
"Pending","Oczekujące"
"This is a transactional email about your order.","To jest wiadomość transakcyjna dotycząca Twojego zamówienia."
"Reason for denial","Powód odmowy"
"Your cancellation note","Twoja notatka o anulowaniu"
"Note from our team","Wiadomość od naszego zespołu"
"EU right of withdrawal","Prawo odstąpienia UE"
"Withdrawal right pending delivery","Prawo odstąpienia oczekuje na dostawę"
"Withdrawal window has ended","Termin odstąpienia upłynął"
"Not eligible for withdrawal","Nie kwalifikuje się do odstąpienia"
"Withdrawal already requested","Wniosek o odstąpienie już złożony"
"You can withdraw from this contract any time — the %1-day deadline begins counting once the order is delivered.","Możesz odstąpić od tej umowy w dowolnym momencie — %1-dniowy termin zaczyna biec od chwili dostarczenia zamówienia."
"Your %1-day withdrawal window will begin once this order is delivered.","Twój %1-dniowy termin na odstąpienie rozpocznie się z chwilą dostarczenia tego zamówienia."
"The %1-day window for withdrawing from this contract has ended.","%1-dniowy termin na odstąpienie od tej umowy upłynął."
"This order is not eligible for withdrawal under EU consumer law (Art. 16 Directive 2011/83/EU).","To zamówienie nie kwalifikuje się do odstąpienia w świetle unijnego prawa konsumenckiego (art. 16 dyrektywy 2011/83/UE)."
"A withdrawal request for this order has been submitted. See the request details below.","Dla tego zamówienia złożono wniosek o odstąpienie od umowy. Szczegóły wniosku znajdują się poniżej."
"This order contains a perishable item that cannot be returned (food with short shelf life, fresh flowers, etc.).","To zamówienie zawiera towar szybko psujący się, którego nie można zwrócić (żywność o krótkim terminie przydatności, świeże kwiaty itp.)."
"This order contains a custom-made or personalised item that cannot be returned.","To zamówienie zawiera towar wykonany na zamówienie lub spersonalizowany, którego nie można zwrócić."
"This order contains a sealed hygiene item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","To zamówienie zawiera zapieczętowany towar higieniczny. Prawo odstąpienia przysługuje tylko dopóki plomba pozostaje nienaruszona — po jej zerwaniu po dostawie prawo to wygasa."
"This order contains a sealed audio / video / software item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","To zamówienie zawiera zapieczętowany nośnik audio / wideo / oprogramowanie. Prawo odstąpienia przysługuje tylko dopóki plomba pozostaje nienaruszona — po jej zerwaniu po dostawie prawo to wygasa."
"This order contains digital content. Once you start using or downloading the content, you lose the right of withdrawal (you consented to this at checkout).","To zamówienie zawiera treści cyfrowe. Po rozpoczęciu korzystania z treści lub jej pobieraniu tracisz prawo odstąpienia (wyraziłeś/aś na to zgodę przy zamawianiu)."
"%1 item(s) · Refund %2","%1 pozycja(i) · Zwrot %2"
"Awaiting confirmation","Oczekuje na potwierdzenie"
"Cancel withdrawal %1? Your refund will not be processed.","Anulować odstąpienie %1? Twój zwrot nie zostanie zrealizowany."
"Submitted","Złożone"
"Approved","Zatwierdzone"
"Fully returned","W pełni zwrócone"
"Return requested","Zwrot zażądany"
"Not eligible","Nie kwalifikuje się"
"Partially requested","Częściowo zażądane"
"— Select a reason —","— Wybierz powód —"
"Other","Inne"
"The refund will be issued using your original payment method within 5-7 business days after we receive your return.","Zwrot zostanie dokonany za pomocą oryginalnej metody płatności w ciągu 5-7 dni roboczych od otrzymania przez nas zwrotu."
"Withdrawal right lost (Art. 16(m) CRD) — digital performance started on %1.","Utracono prawo odstąpienia (art. 16(m) CRD) — świadczenie cyfrowe rozpoczęto %1."
"Request #%1 not found.","Wniosek #%1 nie został znaleziony."
"Receipt email re-queued for request #%1. Delivery will retry asynchronously.","Wiadomość z potwierdzeniem dla wniosku #%1 ponownie umieszczona w kolejce. Dostarczenie zostanie ponowione asynchronicznie."
"Failed to queue receipt resend: %1","Nie udało się umieścić ponownego wysłania potwierdzenia w kolejce: %1"
"Note text is empty.","Treść notatki jest pusta."
"Note added to request #%1.","Notatka dodana do wniosku #%1."
"Request #%1 approved.","Wniosek #%1 zatwierdzony."
"Request #%1 cancelled.","Wniosek #%1 anulowany."
"Request #%1 denied.","Wniosek #%1 odrzucony."
"Invalid request id.","Nieprawidłowy identyfikator wniosku."
"Unable to open temporary file for CSV export.","Nie można otworzyć pliku tymczasowego do eksportu CSV."
"Withdrawal Requests","Wnioski o odstąpienie"
"%1 requests queued for acceptance.","%1 wniosków umieszczono w kolejce do zatwierdzenia."
"%1 request(s) approved.","Zatwierdzono %1 wniosek(ów)."
"%1 request(s) failed. First errors: %2","%1 wniosek(ów) nie powiodło się. Pierwsze błędy: %2"
"Note added to %1 request(s).","Notatkę dodano do %1 wniosku(ów)."
"Underlying order #%1 not found.","Nie znaleziono powiązanego zamówienia #%1."
"Order #%1 has no invoice yet — Magento requires an invoice before a credit memo can be created. Open an invoice first (Sales → Orders → #%1 → Invoice button), then return here to refund.","Zamówienie #%1 nie ma jeszcze faktury — Magento wymaga faktury przed utworzeniem noty kredytowej. Najpierw wystaw fakturę (Sprzedaż → Zamówienia → #%1 → przycisk Faktura), a następnie wróć tutaj, aby zrealizować zwrot."
