"View Credit Memo","Visualizza nota di credito"
"Issue Credit Memo","Emetti nota di credito"
"Approve","Approva"
"Approve this withdrawal request?","Approvare questa richiesta di recesso?"
"Deny","Rifiuta"
"Legal reason for denial (min 10 chars):","Motivo legale del rifiuto (min. 10 caratteri):"
"Cancel Request","Annulla richiesta"
"Cancel this withdrawal? Add an optional note for the customer (visible in their cancellation email):","Annullare questo recesso? Aggiungi una nota facoltativa per il cliente (visibile nella sua e-mail di annullamento):"
"Resend Receipt","Reinvia ricevuta"
"Send the receipt email again? The customer will receive another copy.","Inviare di nuovo l'e-mail di ricevuta? Il cliente riceverà un'altra copia."
"Withdrawal Request #%1","Richiesta di recesso #%1"
"Request Details","Dettagli della richiesta"
"Information","Informazioni"
"Reason for Denial","Motivo del rifiuto"
"Customer Cancellation Note","Nota di annullamento del cliente"
"Cancellation Note","Nota di annullamento"
"Status-Change Note","Nota di cambio stato"
"Code","Codice"
"Label","Etichetta"
"Add Reason","Aggiungi motivo"
"In progress","In corso"
"Refund issued","Rimborso emesso"
"Denied","Rifiutata"
"Cancelled","Annullata"
"Pending","In attesa"
"This is a transactional email about your order.","Questa è un'e-mail transazionale relativa al tuo ordine."
"Reason for denial","Motivo del rifiuto"
"Your cancellation note","La tua nota di annullamento"
"Note from our team","Nota dal nostro team"
"EU right of withdrawal","Diritto di recesso UE"
"Withdrawal right pending delivery","Diritto di recesso in attesa di consegna"
"Withdrawal window has ended","Periodo di recesso terminato"
"Not eligible for withdrawal","Non idoneo al recesso"
"Withdrawal already requested","Richiesta di recesso già inviata"
"You can withdraw from this contract any time — the 14-day deadline begins counting once the order is delivered.","Puoi recedere da questo contratto in qualsiasi momento — il termine di 14 giorni inizia a decorrere dalla consegna dell'ordine."
"Your 14-day withdrawal window will begin once this order is delivered.","Il tuo periodo di recesso di 14 giorni inizierà alla consegna di questo ordine."
"The 14-day window for withdrawing from this contract has ended.","Il periodo di 14 giorni per recedere da questo contratto è terminato."
"This order is not eligible for withdrawal under EU consumer law (Art. 16 Directive 2011/83/EU).","Questo ordine non è idoneo al recesso ai sensi del diritto dei consumatori UE (art. 16 Direttiva 2011/83/UE)."
"A withdrawal request for this order has been submitted. See the request details below.","È stata inviata una richiesta di recesso per questo ordine. Vedi i dettagli della richiesta di seguito."
"This order contains a perishable item that cannot be returned (food with short shelf life, fresh flowers, etc.).","Questo ordine contiene un articolo deperibile che non può essere restituito (alimenti a breve scadenza, fiori freschi, ecc.)."
"This order contains a custom-made or personalised item that cannot be returned.","Questo ordine contiene un articolo confezionato su misura o personalizzato che non può essere restituito."
"This order contains a sealed hygiene item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","Questo ordine contiene un articolo igienico sigillato. Mantieni il diritto di recesso solo finché il sigillo resta integro — una volta rotto il sigillo dopo la consegna, il diritto viene perso."
"This order contains a sealed audio / video / software item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","Questo ordine contiene un articolo audio / video / software sigillato. Mantieni il diritto di recesso solo finché il sigillo resta integro — una volta rotto il sigillo dopo la consegna, il diritto viene perso."
"This order contains digital content. Once you start using or downloading the content, you lose the right of withdrawal (you consented to this at checkout).","Questo ordine contiene contenuto digitale. Una volta avviato l'uso o il download del contenuto, perdi il diritto di recesso (hai prestato il tuo consenso al momento del checkout)."
"%1 item(s) · Refund %2","%1 articoli · Rimborso %2"
"Awaiting confirmation","In attesa di conferma"
"Cancel withdrawal %1? Your refund will not be processed.","Annullare il recesso %1? Il tuo rimborso non verrà elaborato."
"Submitted","Inviata"
"Approved","Approvata"
"Fully returned","Restituito interamente"
"Return requested","Restituzione richiesta"
"Not eligible","Non idoneo"
"Partially requested","Richiesto parzialmente"
"— Select a reason —","— Seleziona un motivo —"
"Other","Altro"
"The refund will be issued using your original payment method within 5-7 business days after we receive your return.","Il rimborso verrà effettuato tramite il tuo metodo di pagamento originale entro 5-7 giorni lavorativi dalla ricezione del reso."
"Withdrawal right lost (Art. 16(m) CRD) — digital performance started on %1.","Diritto di recesso perso (art. 16(m) CRD) — esecuzione digitale iniziata il %1."
"Request #%1 not found.","Richiesta #%1 non trovata."
"Receipt email re-queued for request #%1. Delivery will retry asynchronously.","E-mail di ricevuta rimessa in coda per la richiesta #%1. La consegna verrà ritentata in modo asincrono."
"Failed to queue receipt resend: %1","Impossibile mettere in coda il rinvio della ricevuta: %1"
"Note text is empty.","Il testo della nota è vuoto."
"Note added to request #%1.","Nota aggiunta alla richiesta #%1."
"Request #%1 approved.","Richiesta #%1 approvata."
"Request #%1 cancelled.","Richiesta #%1 annullata."
"Request #%1 denied.","Richiesta #%1 rifiutata."
"Invalid request id.","ID richiesta non valido."
"Unable to open temporary file for CSV export.","Impossibile aprire il file temporaneo per l'esportazione CSV."
"Withdrawal Requests","Richieste di recesso"
"%1 requests queued for acceptance.","%1 richieste in coda per l'accettazione."
"%1 request(s) approved.","%1 richiesta/e approvata/e."
"%1 request(s) failed. First errors: %2","%1 richiesta/e non riuscita/e. Primi errori: %2"
"Note added to %1 request(s).","Nota aggiunta a %1 richiesta/e."
"Underlying order #%1 not found.","Ordine sottostante #%1 non trovato."
