"View Credit Memo","Προβολή πιστωτικού σημειώματος"
"Issue Credit Memo","Έκδοση πιστωτικού σημειώματος"
"Approve","Έγκριση"
"Approve this withdrawal request?","Έγκριση αυτού του αιτήματος υπαναχώρησης;"
"Deny","Απόρριψη"
"Legal reason for denial (min 10 chars):","Νομικός λόγος απόρριψης (ελάχ. 10 χαρακτήρες):"
"Cancel Request","Ακύρωση αιτήματος"
"Cancel this withdrawal? Add an optional note for the customer (visible in their cancellation email):","Ακύρωση αυτής της υπαναχώρησης; Προσθέστε προαιρετική σημείωση για τον πελάτη (εμφανίζεται στο email ακύρωσης):"
"Resend Receipt","Επαναποστολή απόδειξης"
"Send the receipt email again? The customer will receive another copy.","Επαναποστολή του email απόδειξης; Ο πελάτης θα λάβει νέο αντίγραφο."
"Withdrawal Request #%1","Αίτημα υπαναχώρησης #%1"
"Request Details","Λεπτομέρειες αιτήματος"
"Information","Πληροφορίες"
"Reason for Denial","Λόγος απόρριψης"
"Customer Cancellation Note","Σημείωση ακύρωσης πελάτη"
"Cancellation Note","Σημείωση ακύρωσης"
"Status-Change Note","Σημείωση αλλαγής κατάστασης"
"Code","Κωδικός"
"Label","Ετικέτα"
"Add Reason","Προσθήκη λόγου"
"In progress","Σε εξέλιξη"
"Refund issued","Επιστροφή εκδόθηκε"
"Denied","Απορρίφθηκε"
"Cancelled","Ακυρώθηκε"
"Pending","Σε εκκρεμότητα"
"This is a transactional email about your order.","Αυτό είναι ένα συναλλακτικό email σχετικά με την παραγγελία σας."
"Reason for denial","Λόγος απόρριψης"
"Your cancellation note","Η σημείωση ακύρωσής σας"
"Note from our team","Σημείωση από την ομάδα μας"
"EU right of withdrawal","Δικαίωμα υπαναχώρησης ΕΕ"
"Withdrawal right pending delivery","Δικαίωμα υπαναχώρησης σε αναμονή παράδοσης"
"Withdrawal window has ended","Η προθεσμία υπαναχώρησης έληξε"
"Not eligible for withdrawal","Μη επιλέξιμο για υπαναχώρηση"
"Withdrawal already requested","Το αίτημα υπαναχώρησης έχει ήδη υποβληθεί"
"You can withdraw from this contract any time — the 14-day deadline begins counting once the order is delivered.","Μπορείτε να υπαναχωρήσετε από αυτή τη σύμβαση οποιαδήποτε στιγμή — η προθεσμία των 14 ημερών αρχίζει να μετρά μόλις παραδοθεί η παραγγελία."
"Your 14-day withdrawal window will begin once this order is delivered.","Η προθεσμία υπαναχώρησης 14 ημερών θα ξεκινήσει μόλις παραδοθεί η παραγγελία."
"The 14-day window for withdrawing from this contract has ended.","Η προθεσμία των 14 ημερών για υπαναχώρηση από αυτή τη σύμβαση έχει λήξει."
"This order is not eligible for withdrawal under EU consumer law (Art. 16 Directive 2011/83/EU).","Αυτή η παραγγελία δεν είναι επιλέξιμη για υπαναχώρηση βάσει του ενωσιακού δικαίου προστασίας του καταναλωτή (Άρθρο 16 Οδηγία 2011/83/ΕΕ)."
"A withdrawal request for this order has been submitted. See the request details below.","Έχει υποβληθεί αίτημα υπαναχώρησης για αυτήν την παραγγελία. Δείτε τις λεπτομέρειες του αιτήματος παρακάτω."
