"View Credit Memo","Jóváírási értesítő megtekintése"
"Issue Credit Memo","Jóváírási értesítő kibocsátása"
"Approve","Jóváhagyás"
"Approve this withdrawal request?","Jóváhagyja ezt az elállási kérelmet?"
"Deny","Elutasítás"
"Legal reason for denial (min 10 chars):","Jogi indok az elutasításhoz (min. 10 karakter):"
"Cancel Request","Kérelem visszavonása"
"Cancel this withdrawal? Add an optional note for the customer (visible in their cancellation email):","Visszavonja ezt az elállást? Hozzáadhat egy opcionális megjegyzést a vásárlónak (a visszavonási e-mailjében jelenik meg):"
"Resend Receipt","Nyugta újraküldése"
"Send the receipt email again? The customer will receive another copy.","Újraküldi a nyugta e-mailt? A vásárló egy újabb példányt fog kapni."
"Withdrawal Request #%1","Elállási kérelem #%1"
"Request Details","Kérelem részletei"
"Information","Információk"
"Reason for Denial","Elutasítás indoka"
"Customer Cancellation Note","Vásárlói visszavonási megjegyzés"
"Cancellation Note","Visszavonási megjegyzés"
"Status-Change Note","Állapotváltozási megjegyzés"
"Code","Kód"
"Label","Címke"
"Add Reason","Indok hozzáadása"
"In progress","Folyamatban"
"Refund issued","Visszatérítés kiállítva"
"Denied","Elutasítva"
"Cancelled","Visszavonva"
"Pending","Függőben"
"This is a transactional email about your order.","Ez egy tranzakciós e-mail a rendelésével kapcsolatban."
"Reason for denial","Elutasítás indoka"
"Your cancellation note","Az Ön visszavonási megjegyzése"
"Note from our team","Üzenet a csapatunktól"
"EU right of withdrawal","EU elállási jog"
"Withdrawal right pending delivery","Elállási jog kézbesítésre vár"
"Withdrawal window has ended","Az elállási határidő lejárt"
"Not eligible for withdrawal","Nem alkalmas elállásra"
"Withdrawal already requested","Elállási kérelem már beküldve"
"You can withdraw from this contract any time — the 14-day deadline begins counting once the order is delivered.","Ettől a szerződéstől bármikor elállhat — a 14 napos határidő a rendelés kézbesítésétől számítva indul."
"Your 14-day withdrawal window will begin once this order is delivered.","A 14 napos elállási határideje a rendelés kézbesítésekor kezdődik."
"The 14-day window for withdrawing from this contract has ended.","A szerződéstől való elállásra rendelkezésre álló 14 napos határidő lejárt."
"This order is not eligible for withdrawal under EU consumer law (Art. 16 Directive 2011/83/EU).","Ez a rendelés az EU fogyasztóvédelmi joga alapján nem jogosult elállásra (16. cikk 2011/83/EU irányelv)."
"A withdrawal request for this order has been submitted. See the request details below.","Erre a rendelésre elállási kérelmet nyújtottak be. A kérelem részleteit lásd alább."
"This order contains a perishable item that cannot be returned (food with short shelf life, fresh flowers, etc.).","Ez a rendelés gyorsan romló terméket tartalmaz, amely nem küldhető vissza (rövid eltarthatóságú élelmiszer, friss virágok stb.)."
"This order contains a custom-made or personalised item that cannot be returned.","Ez a rendelés egyedi gyártású vagy személyre szabott terméket tartalmaz, amely nem küldhető vissza."
"This order contains a sealed hygiene item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","Ez a rendelés lezárt higiéniai terméket tartalmaz. Az elállási jog csak addig illeti meg, amíg a pecsét sértetlen — a kézbesítés utáni felbontást követően a jog elvész."
"This order contains a sealed audio / video / software item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","Ez a rendelés lezárt audio / videó / szoftver terméket tartalmaz. Az elállási jog csak addig illeti meg, amíg a pecsét sértetlen — a kézbesítés utáni felbontást követően a jog elvész."
"This order contains digital content. Once you start using or downloading the content, you lose the right of withdrawal (you consented to this at checkout).","Ez a rendelés digitális tartalmat tartalmaz. A tartalom használatának vagy letöltésének megkezdésével elveszíti az elállási jogát (ehhez a pénztárnál hozzájárult)."
"%1 item(s) · Refund %2","%1 tétel · Visszatérítés %2"
"Awaiting confirmation","Megerősítésre vár"
"Cancel withdrawal %1? Your refund will not be processed.","Visszavonja a(z) %1 elállást? A visszatérítés nem kerül feldolgozásra."
"Submitted","Beküldve"
"Approved","Jóváhagyva"
"Fully returned","Teljes egészében visszaküldve"
"Return requested","Visszaküldés kérve"
"Not eligible","Nem alkalmas"
"Partially requested","Részben kérve"
"— Select a reason —","— Válasszon indokot —"
"Other","Egyéb"
"The refund will be issued using your original payment method within 5-7 business days after we receive your return.","A visszatérítés az eredeti fizetési módon történik a visszaküldött termék kézhezvételétől számított 5-7 munkanapon belül."
"Withdrawal right lost (Art. 16(m) CRD) — digital performance started on %1.","Elállási jog elvesztve (16(m) cikk 2011/83/EU irányelv) — a digitális teljesítés megkezdődött ekkor: %1."
"Request #%1 not found.","A(z) #%1 kérelem nem található."
"Receipt email re-queued for request #%1. Delivery will retry asynchronously.","A(z) #%1 kérelem nyugta e-mailje újra sorba állítva. A kézbesítés aszinkron módon újra lesz próbálva."
"Failed to queue receipt resend: %1","Nem sikerült sorba állítani a nyugta újraküldését: %1"
"Note text is empty.","A jegyzet szövege üres."
"Note added to request #%1.","Jegyzet hozzáadva a(z) #%1 kérelemhez."
"Request #%1 approved.","A(z) #%1 kérelem jóváhagyva."
"Request #%1 cancelled.","A(z) #%1 kérelem visszavonva."
"Request #%1 denied.","A(z) #%1 kérelem elutasítva."
"Invalid request id.","Érvénytelen kérelemazonosító."
"Unable to open temporary file for CSV export.","Nem sikerült megnyitni az ideiglenes fájlt a CSV exportáláshoz."
"Withdrawal Requests","Elállási kérelmek"
"%1 requests queued for acceptance.","%1 kérelem sorba állítva elfogadásra."
"%1 request(s) approved.","%1 kérelem jóváhagyva."
"%1 request(s) failed. First errors: %2","%1 kérelem feldolgozása sikertelen. Első hibák: %2"
"Note added to %1 request(s).","Jegyzet hozzáadva %1 kérelemhez."
"Underlying order #%1 not found.","A kapcsolódó #%1 rendelés nem található."
"Order #%1 has no invoice yet — Magento requires an invoice before a credit memo can be created. Open an invoice first (Sales → Orders → #%1 → Invoice button), then return here to refund.","A(z) #%1 rendeléshez még nem tartozik számla — a Magento megköveteli a számla kiállítását a jóváírási értesítő létrehozása előtt. Először állítson ki számlát (Eladások → Rendelések → #%1 → Számla gomb), majd térjen vissza ide a visszatérítéshez."
"No items recorded on this withdrawal request — the credit memo will open with default invoice qtys; please adjust manually.","Ehhez az elállási kérelemhez nincs rögzített tétel — a jóváírási értesítő alapértelmezett számlamennyiségekkel nyílik meg; kérjük, módosítsa kézzel."
"Pre-filled credit memo for withdrawal #%1 — review the qtys + shipping refund below, then click Refund Online or Refund Offline.","Előre kitöltött jóváírási értesítő a(z) #%1 elálláshoz — ellenőrizze az alábbi mennyiségeket és a szállítási díj visszatérítését, majd kattintson az Online visszatérítés vagy Offline visszatérítés gombra."
"Some items are no longer eligible. Please reload and try again.","Néhány tétel már nem jogosult. Kérjük, töltse újra az oldalt, és próbálja újra."
"We could not process your request. Please try again.","Nem tudtuk feldolgozni a kérelmét. Kérjük, próbálja újra."
"Item","Tétel"
"We could not find a matching order for that email.","Nem találtunk megfelelő rendelést ehhez az e-mail címhez."
"Withdraw from a contract","Elállás a szerződéstől"
"Withdrawal not found.","Az elállás nem található."
"This withdrawal can no longer be cancelled online. Contact us if you need help.","Ez az elállás már nem vonható vissza online. Vegye fel velünk a kapcsolatot, ha segítségre van szüksége."
"Withdrawal #%1 cancelled.","A(z) #%1 elállás visszavonva."
"Please fill in all required fields.","Töltse ki az összes kötelező mezőt."
"%1 item(s) were excluded from the withdrawal because the seal is broken (Art. 16(e)/(i) Directive 2011/83/EU).","%1 tétel kizárva az elállásból, mert a pecsét sérült (16(e)/(i) cikk 2011/83/EU irányelv)."
"Please select at least one item to withdraw.","Kérjük, válasszon ki legalább egy elállni kívánt tételt."
"One or more items are no longer available for withdrawal. Please refresh and try again.","Egy vagy több tétel már nem érhető el elállásra. Kérjük, frissítse az oldalt, és próbálja újra."
"None of the selected items are eligible for withdrawal.","A kiválasztott tételek egyike sem jogosult elállásra."
"Hash mismatch for quote item %1","Hash-eltérés a(z) %1 ajánlattételi tételnél"
