"View Credit Memo","Zobraziť dobropis"
"Issue Credit Memo","Vystaviť dobropis"
"Approve","Schváliť"
"Approve this withdrawal request?","Schváliť túto žiadosť o odstúpenie?"
"Deny","Zamietnuť"
"Legal reason for denial (min 10 chars):","Právny dôvod zamietnutia (min. 10 znakov):"
"Cancel Request","Zrušiť žiadosť"
"Cancel this withdrawal? Add an optional note for the customer (visible in their cancellation email):","Zrušiť toto odstúpenie? Pridajte voliteľnú poznámku pre zákazníka (viditeľná v jeho e-maile o zrušení):"
"Resend Receipt","Znova odoslať potvrdenie"
"Send the receipt email again? The customer will receive another copy.","Odoslať e-mail s potvrdením znova? Zákazník dostane ďalšiu kópiu."
"Withdrawal Request #%1","Žiadosť o odstúpenie #%1"
"Request Details","Podrobnosti žiadosti"
"Information","Informácie"
"Reason for Denial","Dôvod zamietnutia"
"Customer Cancellation Note","Poznámka zákazníka k zrušeniu"
"Cancellation Note","Poznámka k zrušeniu"
"Status-Change Note","Poznámka k zmene stavu"
"Code","Kód"
"Label","Štítok"
"Add Reason","Pridať dôvod"
"In progress","Prebieha"
"Refund issued","Refundácia vystavená"
"Denied","Zamietnuté"
"Cancelled","Zrušené"
"Pending","Čaká"
"This is a transactional email about your order.","Toto je transakčný e-mail týkajúci sa vašej objednávky."
"Reason for denial","Dôvod zamietnutia"
"Your cancellation note","Vaša poznámka k zrušeniu"
"Note from our team","Poznámka od nášho tímu"
"EU right of withdrawal","Právo na odstúpenie podľa EÚ"
"Withdrawal right pending delivery","Právo na odstúpenie čaká na doručenie"
"Withdrawal window has ended","Lehota na odstúpenie uplynula"
"Not eligible for withdrawal","Nie je možné odstúpiť"
"Withdrawal already requested","Žiadosť o odstúpenie už odoslaná"
"You can withdraw from this contract any time — the %1-day deadline begins counting once the order is delivered.","Od tejto zmluvy môžete odstúpiť kedykoľvek — %1-dňová lehota začína plynúť až po doručení objednávky."
"Your %1-day withdrawal window will begin once this order is delivered.","Vaša %1-dňová lehota na odstúpenie začne plynúť po doručení tejto objednávky."
"The %1-day window for withdrawing from this contract has ended.","%1-dňová lehota na odstúpenie od tejto zmluvy uplynula."
"This order is not eligible for withdrawal under EU consumer law (Art. 16 Directive 2011/83/EU).","Táto objednávka nespĺňa podmienky na odstúpenie podľa spotrebiteľského práva EÚ (čl. 16 smernice 2011/83/EÚ)."
"A withdrawal request for this order has been submitted. See the request details below.","Pre túto objednávku bola odoslaná žiadosť o odstúpenie. Detaily žiadosti pozri nižšie."
"This order contains a perishable item that cannot be returned (food with short shelf life, fresh flowers, etc.).","Táto objednávka obsahuje rýchlo sa kaziaci tovar, ktorý nie je možné vrátiť (potraviny s krátkou trvanlivosťou, čerstvé kvety a pod.)."
"This order contains a custom-made or personalised item that cannot be returned.","Táto objednávka obsahuje tovar vyrobený na mieru alebo personalizovaný, ktorý nie je možné vrátiť."
"This order contains a sealed hygiene item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","Táto objednávka obsahuje zapečatený hygienický tovar. Právo na odstúpenie máte iba dovtedy, kým zostane pečať neporušená — po jej porušení po doručení toto právo zaniká."
"This order contains a sealed audio / video / software item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","Táto objednávka obsahuje zapečatený audio / video / softvérový tovar. Právo na odstúpenie máte iba dovtedy, kým zostane pečať neporušená — po jej porušení po doručení toto právo zaniká."
"This order contains digital content. Once you start using or downloading the content, you lose the right of withdrawal (you consented to this at checkout).","Táto objednávka obsahuje digitálny obsah. Po začatí používania alebo sťahovania obsahu strácate právo na odstúpenie (s týmto ste súhlasili pri pokladni)."
"%1 item(s) · Refund %2","%1 položiek · Refundácia %2"
"Awaiting confirmation","Čaká na potvrdenie"
"Cancel withdrawal %1? Your refund will not be processed.","Zrušiť odstúpenie %1? Vaša refundácia nebude spracovaná."
"Submitted","Odoslané"
"Approved","Schválené"
"Fully returned","Plne vrátené"
"Return requested","Vrátenie vyžiadané"
"Not eligible","Nespĺňa podmienky"
"Partially requested","Čiastočne vyžiadané"
"— Select a reason —","— Vyberte dôvod —"
"Other","Iné"
"The refund will be issued using your original payment method within 5-7 business days after we receive your return.","Vrátenie peňazí bude vykonané pôvodným spôsobom platby do 5-7 pracovných dní od prijatia vášho vrátenia."
"Withdrawal right lost (Art. 16(m) CRD) — digital performance started on %1.","Právo na odstúpenie zaniklo (čl. 16 písm. m) smernice CRD) — plnenie digitálneho obsahu začalo dňa %1."
"Request #%1 not found.","Žiadosť č. %1 sa nenašla."
"Receipt email re-queued for request #%1. Delivery will retry asynchronously.","E-mail s potvrdením žiadosti č. %1 bol opätovne zaradený do frontu. Doručenie sa zopakuje asynchrónne."
"Failed to queue receipt resend: %1","Opätovné zaradenie potvrdenia do frontu zlyhalo: %1"
"Note text is empty.","Text poznámky je prázdny."
"Note added to request #%1.","Poznámka bola pridaná k žiadosti č. %1."
"Request #%1 approved.","Žiadosť č. %1 schválená."
"Request #%1 cancelled.","Žiadosť č. %1 zrušená."
"Request #%1 denied.","Žiadosť č. %1 zamietnutá."
"Invalid request id.","Neplatné ID žiadosti."
"Unable to open temporary file for CSV export.","Nepodarilo sa otvoriť dočasný súbor pre export CSV."
"Withdrawal Requests","Žiadosti o odstúpenie"
"%1 requests queued for acceptance.","%1 žiadostí bolo zaradených na schválenie."
"%1 request(s) approved.","%1 žiadostí schválených."
"%1 request(s) failed. First errors: %2","%1 žiadostí zlyhalo. Prvé chyby: %2"
"Note added to %1 request(s).","Poznámka bola pridaná k %1 žiadostiam."
"Underlying order #%1 not found.","Súvisiaca objednávka č. %1 sa nenašla."
"Order #%1 has no invoice yet — Magento requires an invoice before a credit memo can be created. Open an invoice first (Sales → Orders → #%1 → Invoice button), then return here to refund.","Objednávka č. %1 zatiaľ nemá faktúru — Magento vyžaduje faktúru pred vytvorením dobropisu. Najprv vystavte faktúru (Predaj → Objednávky → č. %1 → tlačidlo Faktúra) a potom sa vráťte sem na refundáciu."
"No items recorded on this withdrawal request — the credit memo will open with default invoice qtys; please adjust manually.","K tejto žiadosti o odstúpenie nie sú evidované žiadne položky — dobropis sa otvorí s predvolenými množstvami z faktúry; upravte ich, prosím, manuálne."
"Pre-filled credit memo for withdrawal #%1 — review the qtys + shipping refund below, then click Refund Online or Refund Offline.","Predvyplnený dobropis pre odstúpenie č. %1 — skontrolujte nižšie množstvá a refundáciu dopravy a potom kliknite na Refundovať online alebo Refundovať offline."
"Some items are no longer eligible. Please reload and try again.","Niektoré položky už nespĺňajú podmienky. Obnovte stránku a skúste znova."
"We could not process your request. Please try again.","Vašu žiadosť sa nám nepodarilo spracovať. Skúste to znova."
"Item","Položka"
"We could not find a matching order for that email.","Pre tento e-mail sme nenašli zodpovedajúcu objednávku."
"Withdraw from a contract","Odstúpiť od zmluvy"
"Withdrawal not found.","Odstúpenie sa nenašlo."
"This withdrawal can no longer be cancelled online. Contact us if you need help.","Toto odstúpenie už nie je možné zrušiť online. Ak potrebujete pomoc, kontaktujte nás."
"Withdrawal #%1 cancelled.","Odstúpenie č. %1 zrušené."
"Please fill in all required fields.","Vyplňte všetky povinné polia."
"%1 item(s) were excluded from the withdrawal because the seal is broken (Art. 16(e)/(i) Directive 2011/83/EU).","%1 položiek bolo vylúčených z odstúpenia, pretože pečať je porušená (čl. 16 písm. e)/i) smernice 2011/83/EÚ)."
"Please select at least one item to withdraw.","Vyberte aspoň jednu položku na odstúpenie."
"One or more items are no longer available for withdrawal. Please refresh and try again.","Jedna alebo viaceré položky už nie sú dostupné na odstúpenie. Obnovte stránku a skúste znova."
"None of the selected items are eligible for withdrawal.","Žiadna z vybraných položiek nespĺňa podmienky na odstúpenie."
"Hash mismatch for quote item %1","Nezhoda hashu pre položku košíka %1"
"Requested qty %1 exceeds remaining %2 for order item %3","Požadované množstvo %1 prekračuje zostávajúce %2 pre položku objednávky %3"
"No delivery confirmation recorded for this order yet.","Pre túto objednávku zatiaľ nie je zaznamenané potvrdenie doručenia."
"No eligible items selected for withdrawal","Nie sú vybrané žiadne položky spĺňajúce podmienky na odstúpenie"
"Physical goods","Fyzický tovar"
"Digital content (non-tangible)","Digitálny obsah (nehmotný)"
"Digital service (SaaS / subscription)","Digitálna služba (SaaS / predplatné)"
"Financial services (not supported)","Finančné služby (nepodporované)"
"Downloadable products","Stiahnuteľné produkty"
"Virtual products","Virtuálne produkty"
"Bundles containing digital children","Balíky obsahujúce digitálne podpoložky"
"Custom attribute flag","Príznak vlastného atribútu"
"locale_inheritance.xml missing at %1","locale_inheritance.xml chýba v %1"
