"View Credit Memo","Ver nota de crédito"
"Issue Credit Memo","Emitir nota de crédito"
"Approve","Aprovar"
"Approve this withdrawal request?","Aprovar este pedido de livre resolução?"
"Deny","Recusar"
"Legal reason for denial (min 10 chars):","Motivo legal da recusa (mín. 10 caracteres):"
"Cancel Request","Cancelar pedido"
"Cancel this withdrawal? Add an optional note for the customer (visible in their cancellation email):","Cancelar esta livre resolução? Adicione uma nota opcional para o cliente (visível no e-mail de cancelamento):"
"Resend Receipt","Reenviar comprovativo"
"Send the receipt email again? The customer will receive another copy.","Reenviar o e-mail de comprovativo? O cliente receberá outra cópia."
"Withdrawal Request #%1","Pedido de livre resolução #%1"
"Request Details","Detalhes do pedido"
"Information","Informação"
"Reason for Denial","Motivo da recusa"
"Customer Cancellation Note","Nota de cancelamento do cliente"
"Cancellation Note","Nota de cancelamento"
"Status-Change Note","Nota de alteração de estado"
"Code","Código"
"Label","Etiqueta"
"Add Reason","Adicionar motivo"
"In progress","Em curso"
"Refund issued","Reembolso emitido"
"Denied","Recusado"
"Cancelled","Cancelado"
"Pending","Pendente"
"This is a transactional email about your order.","Este é um e-mail transacional relativo à sua encomenda."
"Reason for denial","Motivo da recusa"
"Your cancellation note","A sua nota de cancelamento"
"Note from our team","Nota da nossa equipa"
"EU right of withdrawal","Direito de livre resolução UE"
"Withdrawal right pending delivery","Direito de livre resolução pendente de entrega"
"Withdrawal window has ended","Prazo de livre resolução terminado"
"Not eligible for withdrawal","Não elegível para livre resolução"
"Withdrawal already requested","Pedido de livre resolução já submetido"
"You can withdraw from this contract any time — the 14-day deadline begins counting once the order is delivered.","Pode resolver este contrato a qualquer momento — o prazo de 14 dias começa a contar a partir do momento em que a encomenda é entregue."
"Your 14-day withdrawal window will begin once this order is delivered.","O seu prazo de livre resolução de 14 dias começará assim que esta encomenda for entregue."
"The 14-day window for withdrawing from this contract has ended.","O prazo de 14 dias para resolver este contrato terminou."
"This order is not eligible for withdrawal under EU consumer law (Art. 16 Directive 2011/83/EU).","Esta encomenda não é elegível para livre resolução nos termos do direito do consumidor da UE (art. 16.º da Diretiva 2011/83/UE)."
"A withdrawal request for this order has been submitted. See the request details below.","Foi submetido um pedido de livre resolução para esta encomenda. Consulte os detalhes do pedido abaixo."
"This order contains a perishable item that cannot be returned (food with short shelf life, fresh flowers, etc.).","Esta encomenda contém um artigo perecível que não pode ser devolvido (alimentos com prazo de validade curto, flores frescas, etc.)."
"This order contains a custom-made or personalised item that cannot be returned.","Esta encomenda contém um artigo feito por medida ou personalizado que não pode ser devolvido."
"This order contains a sealed hygiene item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","Esta encomenda contém um artigo de higiene selado. Mantém o direito de livre resolução apenas enquanto o selo permanecer intacto — uma vez aberto após a entrega, o direito perde-se."
"This order contains a sealed audio / video / software item. You keep the right of withdrawal only while the seal stays intact — once unsealed after delivery, the right is lost.","Esta encomenda contém um artigo selado de áudio / vídeo / software. Mantém o direito de livre resolução apenas enquanto o selo permanecer intacto — uma vez aberto após a entrega, o direito perde-se."
"This order contains digital content. Once you start using or downloading the content, you lose the right of withdrawal (you consented to this at checkout).","Esta encomenda contém conteúdo digital. Assim que começar a utilizar ou a transferir o conteúdo, perde o direito de livre resolução (consentiu nisso na finalização da compra)."
"%1 item(s) · Refund %2","%1 artigo(s) · Reembolso %2"
"Awaiting confirmation","A aguardar confirmação"
"Cancel withdrawal %1? Your refund will not be processed.","Cancelar a livre resolução %1? O seu reembolso não será processado."
"Submitted","Submetido"
"Approved","Aprovado"
"Fully returned","Totalmente devolvido"
"Return requested","Devolução solicitada"
"Not eligible","Não elegível"
"Partially requested","Solicitado parcialmente"
"— Select a reason —","— Selecionar um motivo —"
"Other","Outro"
"The refund will be issued using your original payment method within 5-7 business days after we receive your return.","O reembolso será efetuado pelo seu método de pagamento original no prazo de 5 a 7 dias úteis após a receção da devolução."
"Withdrawal right lost (Art. 16(m) CRD) — digital performance started on %1.","Direito de livre resolução perdido (art. 16(m) CRD) — execução digital iniciada em %1."
"Request #%1 not found.","Pedido #%1 não encontrado."
"Receipt email re-queued for request #%1. Delivery will retry asynchronously.","E-mail de comprovativo reenfileirado para o pedido #%1. A entrega será reenviada de forma assíncrona."
"Failed to queue receipt resend: %1","Falha ao enfileirar o reenvio do comprovativo: %1"
"Note text is empty.","O texto da nota está vazio."
"Note added to request #%1.","Nota adicionada ao pedido #%1."
"Request #%1 approved.","Pedido #%1 aprovado."
"Request #%1 cancelled.","Pedido #%1 cancelado."
"Request #%1 denied.","Pedido #%1 recusado."
"Invalid request id.","ID de pedido inválido."
"Unable to open temporary file for CSV export.","Não foi possível abrir o ficheiro temporário para exportação CSV."
"Withdrawal Requests","Pedidos de livre resolução"
"%1 requests queued for acceptance.","%1 pedidos enfileirados para aprovação."
"%1 request(s) approved.","%1 pedido(s) aprovado(s)."
"%1 request(s) failed. First errors: %2","%1 pedido(s) falharam. Primeiros erros: %2"
"Note added to %1 request(s).","Nota adicionada a %1 pedido(s)."
"Underlying order #%1 not found.","Encomenda associada #%1 não encontrada."
"Order #%1 has no invoice yet — Magento requires an invoice before a credit memo can be created. Open an invoice first (Sales → Orders → #%1 → Invoice button), then return here to refund.","A encomenda #%1 ainda não tem fatura — o Magento exige uma fatura antes de poder ser criada uma nota de crédito. Crie primeiro uma fatura (Vendas → Encomendas → #%1 → botão Faturar) e depois regresse aqui para efetuar o reembolso."
"No items recorded on this withdrawal request — the credit memo will open with default invoice qtys; please adjust manually.","Não há artigos registados neste pedido de livre resolução — a nota de crédito abrirá com as quantidades predefinidas da fatura; ajuste manualmente."
"Pre-filled credit memo for withdrawal #%1 — review the qtys + shipping refund below, then click Refund Online or Refund Offline.","Nota de crédito pré-preenchida para a livre resolução #%1 — reveja as quantidades e o reembolso de envio abaixo e clique em Reembolsar Online ou Reembolsar Offline."
"Some items are no longer eligible. Please reload and try again.","Alguns artigos já não são elegíveis. Recarregue a página e tente novamente."
"We could not process your request. Please try again.","Não foi possível processar o seu pedido. Tente novamente."
"Item","Artigo"
"We could not find a matching order for that email.","Não foi possível encontrar uma encomenda correspondente a esse e-mail."
"Withdraw from a contract","Resolver o contrato"
"Withdrawal not found.","Livre resolução não encontrada."
"This withdrawal can no longer be cancelled online. Contact us if you need help.","Esta livre resolução já não pode ser cancelada online. Contacte-nos se precisar de ajuda."
"Withdrawal #%1 cancelled.","Livre resolução #%1 cancelada."
"Please fill in all required fields.","Preencha todos os campos obrigatórios."
"%1 item(s) were excluded from the withdrawal because the seal is broken (Art. 16(e)/(i) Directive 2011/83/EU).","%1 artigo(s) foram excluídos da livre resolução porque o selo está quebrado (art. 16.º, alíneas e)/i) da Diretiva 2011/83/UE)."
"Please select at least one item to withdraw.","Selecione pelo menos um artigo para resolver."
"One or more items are no longer available for withdrawal. Please refresh and try again.","Um ou mais artigos já não estão disponíveis para livre resolução. Atualize a página e tente novamente."
"None of the selected items are eligible for withdrawal.","Nenhum dos artigos selecionados é elegível para livre resolução."
"Hash mismatch for quote item %1","Hash não corresponde para o item do orçamento %1"
"Requested qty %1 exceeds remaining %2 for order item %3","A quantidade solicitada %1 excede a quantidade restante %2 do artigo da encomenda %3"
"No delivery confirmation recorded for this order yet.","Ainda não foi registada qualquer confirmação de entrega para esta encomenda."
"No eligible items selected for withdrawal","Não foram selecionados artigos elegíveis para livre resolução"
"Physical goods","Bens físicos"
"Digital content (non-tangible)","Conteúdo digital (não tangível)"
"Digital service (SaaS / subscription)","Serviço digital (SaaS / subscrição)"
"Financial services (Enterprise tier)","Serviços financeiros (escalão Enterprise)"
"Downloadable products","Produtos para download"
"Virtual products","Produtos virtuais"
"Bundles containing digital children","Pacotes que contêm artigos digitais"
