"View Credit Memo","Näytä hyvityslasku"
"Issue Credit Memo","Luo hyvityslasku"
"Approve","Hyväksy"
"Approve this withdrawal request?","Hyväksytäänkö tämä peruutuspyyntö?"
"Deny","Hylkää"
"Legal reason for denial (min 10 chars):","Lainmukainen peruste hylkäykselle (väh. 10 merkkiä):"
"Cancel Request","Peruuta pyyntö"
"Cancel this withdrawal? Add an optional note for the customer (visible in their cancellation email):","Peruutetaanko tämä peruutuspyyntö? Lisää valinnainen viesti asiakkaalle (näkyy heidän peruutussähköpostissaan):"
"Resend Receipt","Lähetä kuitti uudelleen"
"Send the receipt email again? The customer will receive another copy.","Lähetetäänkö kuittisähköposti uudelleen? Asiakas vastaanottaa toisen kopion."
"Withdrawal Request #%1","Peruutuspyyntö #%1"
"Request Details","Pyynnön tiedot"
"Information","Tiedot"
"Reason for Denial","Hylkäysperuste"
"Customer Cancellation Note","Asiakkaan peruutusviesti"
"Cancellation Note","Peruutusviesti"
"Status-Change Note","Tilan muutoksen viesti"
"Code","Koodi"
"Label","Otsikko"
"Add Reason","Lisää peruste"
"In progress","Käsittelyssä"
"Refund issued","Hyvitys myönnetty"
"Denied","Hylätty"
"Cancelled","Peruutettu"
"Pending","Odottaa"
"This is a transactional email about your order.","Tämä on tilaustasi koskeva tapahtumasähköposti."
"Reason for denial","Hylkäysperuste"
"Your cancellation note","Peruutusviestisi"
"Note from our team","Viesti tiimiltämme"
"EU right of withdrawal","EU:n peruuttamisoikeus"
"Withdrawal right pending delivery","Peruuttamisoikeus odottaa toimitusta"
"Withdrawal window has ended","Peruuttamisaika päättynyt"
"Not eligible for withdrawal","Ei oikeutta peruutukseen"
"Withdrawal already requested","Peruutuspyyntö on jo lähetetty"
"You can withdraw from this contract any time — the %1-day deadline begins counting once the order is delivered.","Voit peruuttaa tämän sopimuksen milloin tahansa — %1 päivän määräaika alkaa kulua, kun tilaus on toimitettu."
"Your %1-day withdrawal window will begin once this order is delivered.","Sinun %1 päivän peruuttamisaikasi alkaa, kun tämä tilaus on toimitettu."
"The %1-day window for withdrawing from this contract has ended.","Tämän sopimuksen %1 päivän peruuttamisaika on päättynyt."
"This order is not eligible for withdrawal under EU consumer law (Art. 16 Directive 2011/83/EU).","Tätä tilausta ei voi peruuttaa EU:n kuluttajalainsäädännön nojalla (direktiivin 2011/83/EU 16 artikla)."
