"View Credit Memo","Ogled dobropisa"
"Issue Credit Memo","Izdaj dobropis"
"Approve","Odobri"
"Approve this withdrawal request?","Odobri to zahtevo za odstop?"
"Deny","Zavrni"
"Legal reason for denial (min 10 chars):","Pravni razlog za zavrnitev (najmanj 10 znakov):"
"Cancel Request","Prekliči zahtevo"
"Cancel this withdrawal? Add an optional note for the customer (visible in their cancellation email):","Prekličem ta odstop? Dodajte neobvezno opombo za stranko (vidno v njenem e-poštnem sporočilu o preklicu):"
"Resend Receipt","Ponovno pošlji potrdilo"
"Send the receipt email again? The customer will receive another copy.","Ponovno pošljem e-pošto s potrdilom? Stranka bo prejela še eno kopijo."
"Withdrawal Request #%1","Zahteva za odstop #%1"
"Request Details","Podrobnosti zahteve"
"Information","Informacije"
"Reason for Denial","Razlog za zavrnitev"
"Customer Cancellation Note","Opomba stranke ob preklicu"
"Cancellation Note","Opomba o preklicu"
"Status-Change Note","Opomba ob spremembi stanja"
"Code","Koda"
"Label","Oznaka"
"Add Reason","Dodaj razlog"
"In progress","V obdelavi"
"Refund issued","Vračilo izdano"
"Denied","Zavrnjeno"
"Cancelled","Preklicano"
"Pending","V obravnavi"
"This is a transactional email about your order.","To je transakcijsko e-poštno sporočilo o vašem naročilu."
"Reason for denial","Razlog za zavrnitev"
"Your cancellation note","Vaša opomba o preklicu"
"Note from our team","Sporočilo naše ekipe"
"EU right of withdrawal","Pravica do odstopa v EU"
"Withdrawal right pending delivery","Pravica do odstopa čaka na dostavo"
"Withdrawal window has ended","Rok za odstop se je iztekel"
"Not eligible for withdrawal","Ni mogoče odstopiti"
"Withdrawal already requested","Zahteva za odstop je že oddana"
"You can withdraw from this contract any time — the 14-day deadline begins counting once the order is delivered.","Od te pogodbe lahko odstopite kadar koli — 14-dnevni rok začne teči ob dostavi naročila."
"Your 14-day withdrawal window will begin once this order is delivered.","Vaše 14-dnevno obdobje za odstop se bo začelo, ko bo to naročilo dostavljeno."
"The 14-day window for withdrawing from this contract has ended.","14-dnevno obdobje za odstop od te pogodbe se je izteklo."
"This order is not eligible for withdrawal under EU consumer law (Art. 16 Directive 2011/83/EU).","To naročilo ne izpolnjuje pogojev za odstop po pravu EU o varstvu potrošnikov (Čl. 16 Direktiva 2011/83/EU)."
"A withdrawal request for this order has been submitted. See the request details below.","Za to naročilo je bila oddana zahteva za odstop. Podrobnosti zahteve si oglejte spodaj."
"This order contains a perishable item that cannot be returned (food with short shelf life, fresh flowers, etc.).","To naročilo vsebuje pokvarljiv izdelek, ki ga ni mogoče vrniti (živila s kratkim rokom trajanja, sveže rože itd.)."
"This order contains a custom-made or personalised item that cannot be returned.","To naročilo vsebuje izdelek, izdelan po naročilu ali prilagojen po željah stranke, ki ga ni mogoče vrniti."
